NR90	spc	sample	cpm	data	FMT_group	name	prot
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_57	0.580756	shotgun_metagenomics	FMT_grp_7	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_58	8.07011	shotgun_metagenomics	FMT_grp_9	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_60	0.227962	shotgun_metagenomics	FMT_grp_11	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_1-892	2.69138	shotgun_metagenomics	FMT_grp_1	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_11-821	2.39335	shotgun_metagenomics	FMT_grp_10	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_12-1052	0.552566	shotgun_metagenomics	FMT_grp_11	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_2-901	4.69107	shotgun_metagenomics	FMT_grp_2	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_3-911	1.78315	shotgun_metagenomics	FMT_grp_3	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_4-913	0.127518	shotgun_metagenomics	FMT_grp_4	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_5-915	0.385674	shotgun_metagenomics	FMT_grp_5	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_6-955	0.649031	shotgun_metagenomics	FMT_grp_6	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_6-955	0.649031	shotgun_metagenomics	FMT_grp_8	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_7-983	0.790736	shotgun_metagenomics	FMT_grp_7	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	HD_8-964	0	shotgun_metagenomics	FMT_grp_9	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_27	0	shotgun_metagenomics	FMT_grp_1	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_29	0	shotgun_metagenomics	FMT_grp_2	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_31	0.801569	shotgun_metagenomics	FMT_grp_1	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_32	0	shotgun_metagenomics	FMT_grp_3	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_34	0	shotgun_metagenomics	FMT_grp_4	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_35	0	shotgun_metagenomics	FMT_grp_5	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_36	0	shotgun_metagenomics	FMT_grp_3	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_39	0	shotgun_metagenomics	FMT_grp_2	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_40	0	shotgun_metagenomics	FMT_grp_4	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_41	0.753257	shotgun_metagenomics	FMT_grp_5	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_45	0	shotgun_metagenomics	FMT_grp_7	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_46	0	shotgun_metagenomics	FMT_grp_6	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_48	0	shotgun_metagenomics	FMT_grp_9	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_51	0	shotgun_metagenomics	FMT_grp_10	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_52	0	shotgun_metagenomics	FMT_grp_6	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_53	0.247488	shotgun_metagenomics	FMT_grp_8	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_54	0	shotgun_metagenomics	FMT_grp_11	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_56	0	shotgun_metagenomics	FMT_grp_10	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_57	0.461366	shotgun_metagenomics	FMT_grp_7	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_58	0.364687	shotgun_metagenomics	FMT_grp_9	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	unclassified	Cosmic_60	0	shotgun_metagenomics	FMT_grp_11	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_1-892	18.1129	shotgun_metagenomics	FMT_grp_1	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_11-821	5.41182	shotgun_metagenomics	FMT_grp_10	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_12-1052	9.90336	shotgun_metagenomics	FMT_grp_11	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_2-901	6.15588	shotgun_metagenomics	FMT_grp_2	donor	Proline Transport protein
