clade	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3-911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	0.02786	0	0	0.00594	0.0111	0	0	0.0706	0	0	0	0	0.30076	0	0	0	0.51179	0.52678	0.53285	0.16896	0	0	0	0	0.27685	0.39001	0	0.06236	0.41412	0.17679	0.02428
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3446	0.02629	0	0.00693	0	0.00256	0.00649	0.08123	0	0.01464	0.00558	0	0	0	0	0	0	0	0.00323	0	0	0	0	0	0	0	0	0	0	0	0.03023	0.03495
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325|f__FGB1325|g__GGB3175	0.02618	0.05163	0	0.64186	0.00104	0	0	0.0393	0	0	0	0	0.64718	0	0	0	0	0	0	0	0	0	0	0	0	0.07612	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerotignum	0.02585	0.07238	0	0.14042	0.09231	0	0.01147	0.43834	0.00778	0.00258	0	0	0.28069	0	2.2884	0	1.05978	0	0.00477	0.08916	0	0	0	0	0.08396	0.13705	0	0.48747	0.02862	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Intestinibacter	0.02527	0	0.20813	0.02772	0	0.86659	0.25629	0.00386	1.01373	0.4218	0	0	0	0	0	0	0	0.24644	0.08831	0.01161	0	0	0.00344	0	0.02757	0	0	0	0.35455	0.09223	0.08303
k__Bacteria|p__Firmicutes|c__CFGB79152|o__OFGB79152|f__FGB79152|g__GGB4711	0.02496	0.02954	0	0.24055	0.09223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3653	0.02452	0.08782	1.2598	0.11404	0.13436	0.6083	1.36093	0.0393	0.77668	0	0	0	0	0	0	0	0	0	0.01385	0.07678	0	0	0	0	0	0.27043	0	0.0028	0	0.51889	0.28462
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus	0.02418	0.03337	0.01346	0.01486	0.01982	0.02529	0.10473	0.01854	0.02521	0.00375	0	0	0	0	0	0	0	0	0.00149	0.04744	0	0	0	0	0.00211	0.00463	0	0.03823	0	0.03463	0.18193
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pseudoflavonifractor	0.02305	0.00234	0	0.00772	0.01024	0	0.00148	0.00583	0	0	0	0	0.01858	0	0	0	0.08805	0	0.00341	0.0219	0	0	0	0	0	0.00363	0	0.08705	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Fournierella	0.01893	0	0	0	0.00923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3009|o__OFGB3009|f__FGB3009|g__GGB9476	0.01823	0	0	0	0	0	0	0.00224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4604	0.0178	0	0	0	0.13702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massilimicrobiota	0.01678	0.00062	0.0041	0	0.00762	0.0015	0.00129	0.00304	0.00341	0	0	0.08432	0	0	0	0	0	0	0	0	0.01204	0	0	0	0	0	0	0.03338	0.01715	0	0.0187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium	0.01637	0.01637	0.08149	0.01787	0.0063	0.04146	0.0897	0.02894	0.09196	0.00211	0	0	0.01012	0	0	0	0.10542	0.00217	0.06547	0.01799	0.54698	0	0.0319	0.00171	0.01294	0.01211	0	0.02482	0.05297	0.16408	0.44486
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__GGB2980	0.01585	0.00104	0	0	0.00432	0	0	0.02496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00821	0	0.0197
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260|f__FGB1260|g__GGB3057	0.01583	0	0	0	0.00677	0	0	0.00761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02715	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918|f__FGB2918|g__GGB9240	0.01523	0	0	0	0.01167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1474|o__OFGB1474|f__FGB1474|g__GGB51269	0.01502	0	0	0.07127	0.08055	0	0	0	0	0	0	0	0	0	0	0	0.11222	0	1.50227	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB9786	0.01463	0	0	0	0.01908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified	0.01398	0.11759	0.12397	0.10962	0.0584	0.30141	0.40372	0.01315	0.05398	0.009	0	0	0	0	0	0	0.13144	0.13113	0.17831	0.21822	0	0	0	0	0.03053	0.04969	0	0.1138	0.11964	0.09872	0.02876
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048|g__GGB9559	0.01335	0.13909	0.15664	0.19226	0.09456	0.26479	0.24001	0.0477	0	0	0	0	0.02268	0	0	0	0.00908	0.0703	0	0.00128	0	0	0	0	0.03244	0.02189	0	0.0026	0	0	0.01222
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047|g__GGB52130	0.0131	0.00019	0.00186	0.00477	0.00965	0.00015	0.00709	0	0	0.01212	0	0	0.00712	0	0	0	0.01643	0	0.0037	0.01115	0	0	0	0	0	0	0	0.06919	0	0.00744	0.00038
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9667	0.01308	0.02323	0	0.04618	0.02594	0	0.00482	0.04544	0	0	0	0	0.01778	0	0	0	0	0.00332	0.13607	0.0211	0	0	0	0	0.01528	0.02873	0	0.08603	0	0.14115	0.0629
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella	0.01285	0.01549	0	0.00748	0.0082	0	0.00068	0.00125	0	0	0	0	0.13606	0	0	0	0.29716	0.04374	0.00817	0	0	0	0.48658	0	0.0165	0.00528	0	0.12138	0.0739	0	0.03882
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB38987	0.01265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB9787	0.0118	0	0	0	0.00546	0.03844	0	0	0	0	0	0	0	0	0	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0	0.02273
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023|f__FGB3023|g__GGB9501	0.01067	0	0.00064	0	0.0025	0	0.00101	0.03749	0	0	0	0	0.01529	0	0	0	0	0	0.03661	0.04881	0	0	0	0	0.01315	0.00604	0	0	0	0.03808	0.00312
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9469	0.01053	0.09957	0.06954	0.07958	0.00156	0.11665	0.24094	0	0.10659	0.00557	0	0	0	0	0	0	0	0	0.00799	0.00338	0	0	0.01198	0	0	0	0	0	0	0.00896	0.30985
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9641	0.00953	0	0	0	0.01236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB3321	0.00945	0	0	0	0.02293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Zhenpiania	0.00925	0.04635	0.04529	0.04178	0.00364	0.05479	0.06134	0.00901	0.0261	0	0	0	0	0	0	0	0	0.00433	0	0.00359	0	0	0	0	0	0	0	0.00766	0.10097	0.00426	0.03472
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932|f__FGB2932|g__GGB9261	0.00922	0	0	0	0.01474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9237	0.00918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__GGB9563	0.009	0.04854	0	0.08068	0.01033	0	0	0	0	0	0	0	0	0	0	0	0	0.03826	0	0	0	0	0	0	0	0	0	0.00356	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Jingyaoa	0.00871	0	0	0	0.01933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB30328|o__OFGB30328|f__FGB30328|g__GGB52106	0.00867	0	0	0	0	0	0	0.00195	0	0	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0.00031	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB24517|o__OFGB24517|f__FGB24517|g__GGB45620	0.00809	0	0	0	0.00843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB52309|o__OFGB52309|f__FGB52309|g__GGB53380	0.0075	0	0	0	0.01154	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified	0.00685	0.00058	0.00969	0.00463	0.01146	0.01354	0.01904	0.01595	0.00141	0.00109	0	0	0.00157	0	0	0	0.02918	0	0	0	0	0	0	0	0.00501	0	0	0.01043	0.03308	0.00827	0.00612
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB45432	0.00614	0.02521	0.07103	0.04081	0.00613	0.0343	0.05478	0.01159	0.0358	0.00137	0	0	0	0	0	0	0	0	0.00276	0.01252	0	0	0	0	0.00071	0	0	0.00224	0	0.04001	0.12534
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054|g__GGB9690	0.00603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2950|o__OFGB2950|f__FGB2950|g__GGB9291	0.00592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2106|o__OFGB2106|f__FGB2106|g__GGB5980	0.00588	0	0	0	0	0	0	0.00108	0	0	0	0	0.22405	0	0	0	0.38697	0	0	0	0	0	0	0	0	0.16749	0	0	0.00069	0	0
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069|f__FGB3069|g__GGB9767	0.0053	0	0	0	0.00569	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00967	0	0	0	0	0	0	0	0	0	0	0	0.05662
k__Bacteria|p__Firmicutes|c__CFGB77202|o__OFGB77202|f__FGB77202|g__GGB34900	0.00524	0	0	0.00325	0.00114	0	0.00068	0.00243	0	0	0	0	0	0	0	0	0	0	0	0.00752	0	0	0	0	0	0	0	0.0047	0	0.00802	0.04203
k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881|f__FGB2881|g__GGB9185	0.00452	0.00254	0	0.00378	0	0	0	0.01869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00207	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Bianqueaceae|g__Bianquea	0.00444	0	0	0	0.00103	0	0.0065	0.0042	0	0	0	0	0	0	0	0	0	0.00889	0	0.01058	0	0	0	0	0	0	0	0	0	0.08412	0.11185
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB9784	0.0042	0.00221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB30287|o__OFGB30287|f__FGB30287|g__GGB42378	0.00402	0.00166	0	0.00631	0.00168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011|g__GGB2653	0.00396	0.00863	0	0.0068	0.00065	0.02022	0.01709	0.01595	0	0	0	0	0.00741	0	0	0	0	0.00029	0	0.0079	0	0	0	0	0.01348	0.00183	0	0.01618	0	0.01052	0.00609
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Provencibacterium	0.00371	0	0	0	0	0.00014	0	0.00013	0	0	0	0	0.0095	0	0	0	0	0	0.0018	0	0	0	0	0	0.00088	0	0	0	0	0	0.00455
k__Bacteria|p__Firmicutes|c__CFGB4623|o__OFGB4623|f__FGB4623|g__GGB9525	0.00338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00189	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia	0.00333	0.0041	0.01406	0.00554	0.006	0.02562	0.01427	0.00996	0.00935	0	0	0	0.0014	0	0	0	0.0232	0	0.00547	0.00553	0	0	0	0	0.00517	0.01486	0	0.00027	0.01262	0.01112	0.0162
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus	0.00329	0	0	0.00092	0.00209	0	0	0.062	0	0	0	0	0.00106	0	0	0	0.00969	0	0.08743	0.00373	0	0	0	0	0	0.01484	0	0.01938	0.03605	0.03325	0.09022
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB45495	0.00304	0.00302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27385
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119|f__FGB9119|g__GGB4653	0.00304	0	0	0	0.08162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB9775	0.00304	0.00466	0	0.01868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01263	0	0	0.03002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Cuneatibacter	0.00263	0.0002	0.04162	0.00082	0.00115	0.03157	0.03588	0	0.02086	0	0	0	0.00674	0	0	0	0	0	0	0	0	0	0.25429	0	0.00568	0.00478	0	0	0	0.00013	0.01341
k__Bacteria|p__Firmicutes|c__CFGB3040|o__OFGB3040|f__FGB3040|g__GGB9540	0.00173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia	0.00154	0	0.00076	0	0	0	0	0	0	0.00108	0	0.12674	0	0	0	0	0.03456	0	0	0	0	0	0	0	0	0	0	0.14861	0	0.0015	0.07336
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	0.00154	0	0	0	0.01155	0	0	0	0	0	1.08313	3.00177	0.0056	3.6212	0.04863	19.99636	0.21527	0.07828	0	0	9.53841	5.66823	1.76933	25.65733	0	0	32.99523	0.51652	0	0.0291	0
k__Bacteria|p__Firmicutes|c__CFGB82363|o__OFGB82363|f__FGB82363|g__GGB9545	0.00128	0.01122	0	0.00747	0.0012	0	0	0.02423	0	0	0	0	0	0	0	0	0	0	0.01123	0	0	0	0	0	0	0	0	0	0	0	0.06272
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4605	0.00124	0	0	0.09664	0.03629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9707	0.00124	0	0	0	0.00469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1474|o__OFGB1474|f__FGB1474|g__GGB3731	0.00111	0	0	0	0.09201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054|g__GGB33512	0.0009	0.04951	0	0.01788	0.00123	0	0	0.01569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04087	0	0.04061	0	0	0.05455
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Merdibacter	0.00076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Merdimonas	0.00069	0.01916	0	0.02284	0	0	0	0.01801	0	0	0	0	0	0	0	0	0	0.00158	0	0	0	0	0	0	0	0	0	0.09586	0	0	0.00238
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.00059	0.10816	0.05044	0.0831	0.00514	0.02216	0.01044	0	0.05551	0.16359	0	0.04675	0.01336	0	0	0	0.00519	0	0	0.00067	0	0	0.00369	0	0	0.01067	0.00251	0.17208	0.04335	0.00849	0.17706
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3000	0.00056	0.00642	0	0.00567	0.00402	0	0	0	0	0	0	0	0.00557	0	0	0	0	0.03255	0	0	0	0	0	0	0	0	0	0	0	0	0.00619
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnotalea	0.00051	0	0	0	0.00098	0	0	0.00811	0.00052	0	0	0	0.00865	0	0	0	0	0	0	0.00166	0	0	0	0	0.00101	0.01421	0	0	0	0.00162	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9627	0.00047	0	0	0	0.00464	0	0	0.03567	0	0	0	0	0.05352	0	0	0	0	0	0	0	0	0	0	0	0	0.01206	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038|g__GGB33586	0.0004	0	0	0.00072	0.00201	0	0	0.00214	0	0	0	0	0	0	0	0	0	0.01609	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Catenibacillus	0.00004	0	0.01696	0	0	0.02808	0.03779	0.01119	0.02464	0.00622	0	0.05623	0	0	0	0	0	0	0.00311	0.0131	0	0	0	0	0.00097	0.00443	0	0	0.00664	0.03109	0.05655
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	17.50944	7.43341	15.27681	12.80609	14.04613	4.33628	9.626	6.65563	15.06774	13.09793	0	0	6.64618	0	0	0	7.20402	5.82082	4.82977	13.79801	0	0	0	0	4.19616	3.33377	0.00323	3.22037	9.03113	9.50556	4.42934
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis	7.36667	7.46158	1.15134	5.03127	6.73569	1.24816	0.6123	6.27615	1.05259	0.99926	0	0	1.0216	0	0	0	1.34503	2.73212	0.13277	0.55132	0	0	0	0	0.34843	2.27405	0	1.38398	1.19014	1.86983	0.40222
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346	6.43585	1.72336	0.80136	1.57782	3.38922	0.07517	0.27755	0.85659	1.49642	1.47476	0	0	0.29722	0	0	0	0.59105	1.66237	0.5815	0.80196	0	0	0	0	0.15307	0.38733	0	3.71034	0.28681	0.56735	0.19644
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_SGB2313	6.13811	0	0	0	3.04224	0	0	0	0	0	0	0	1.68029	0	0	0	3.15164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3585|s__GGB3585_SGB4803	4.35482	0	0	0.00537	1.20748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	4.11092	1.47896	1.01715	0.89543	2.62021	2.33136	1.36314	5.32344	1.12943	1.73566	0	0	0.17249	0	0	0	0.34108	1.58635	0.00221	0.19943	0	0	14.44326	0	1.3743	0.03828	0	3.36366	1.28383	0.35243	0.1154
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	3.14995	3.39876	8.245	1.77662	4.70066	6.471	7.84671	0.96892	6.11514	7.81424	0	0	0.9938	0	0	0	9.98959	0.62474	2.21258	1.65003	0	0	0	0	2.40295	4.27639	0	3.09883	2.31697	2.17121	0.55758
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	3.10886	3.50619	6.02185	3.28592	5.98146	6.30497	4.98611	7.23778	6.14877	7.83005	0	0	2.7958	0	0	0	2.46464	2.20446	0.27145	1.03767	0	0	0	0	2.45928	3.74533	0	1.54413	2.53371	1.22058	0.83881
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	2.73287	2.66377	1.35151	1.94781	2.13705	4.55351	2.94167	2.02001	2.67305	1.88599	0	0	0.88008	0	0	0	1.79993	0.63366	0.71615	1.4982	0	0	0.22779	0	1.24057	0.54941	0	0.41942	0.6754	1.36063	1.68024
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	2.47554	4.65862	0	7.54054	6.82492	0	0	1.335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14608	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Brotolimicola|s__Brotolimicola_acetigignens	2.09401	0.0254	0.0007	0.72012	1.58229	0	0.00339	0.12285	0.00066	0	0	0	14.81087	0	0	0	0.00965	0	0.04657	0.79209	0	0	0	0	0	0.32823	0	0.03374	0	0.81234	0.03424
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis	2.0334	0.95123	1.59489	0.94289	1.40811	1.86145	2.0769	2.31962	1.52943	0.84263	0	0	0.92597	0	0	0	0.84522	0.21638	1.72505	0.32124	0	0	6.15722	0	1.26746	2.01937	0	0.24256	0.65326	0.8848	0.12022
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Oscillospiraceae_bacterium	1.66292	0	0	0	0.92294	0	0	0.06946	0	0	0	0	1.61092	0	0	0	0	0	0.0067	0	0	0	0	0	0	4.4374	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936|g__GGB3256|s__GGB3256_SGB4303	1.65346	0	0	0	1.92355	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07635	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9453|s__GGB9453_SGB14844	1.61056	0.10939	0	0.07274	0.22246	0.00405	0.02883	0.4193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00167	0.00104	0	0.15877	0.02676	0.05409	0.17026
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium_KLE1615	1.18231	1.33055	0.93457	1.12205	1.19643	0.42402	0.61375	0	0.7644	1.53752	0	0	0.33573	0	0	0	1.0668	0.3201	0.31243	0.19826	0	0	0	0	0	0	0	0.20837	0	0.2019	0.00649
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium	1.12277	0	0	0	0.924	0	0.01295	0	0	0	0	0	0.88219	0	1.04231	0	0.73434	0	0.59209	0.1312	0	0	0	0	0	0	0	0	0.72822	1.18954	0.67138
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Simiaoa|s__Simiaoa_sunii	0.98487	0.00165	0.01446	0	1.81925	0.00039	0.03061	0	0.00693	0	0	0	0.07689	0	0	0	0.01677	0	0.00921	0.30729	0	0	0	0	0	0	0	0.03802	0	0.79851	0
