measure1	measure2	rho	p	type1	type2	Padj
feces__DCA	CD8.EMRA__PS.ATP	0.4920286113844617	0.02001896074354432	metabolite	SCENITH_measure	0.17195408979016066
feces__GCA	CD4.central.memory__PS.ATP	-0.6909090909090909	3.707308632520996e-4	metabolite	SCENITH_measure	0.02676213419101094
feces__GCA	Mono.classical__Mitochondrial.dependence	-0.5727272727272728	0.00533930499008995	metabolite	SCENITH_measure	0.09601773375545239
feces__GCA	Mono.intermediate__Mitochondrial.dependence	0.5022883414749454	0.01720933562855507	metabolite	SCENITH_measure	0.158204424554312
feces__GCA	CD8.naive__Mitochondrial.dependence	0.523919354714936	0.01232477042062375	metabolite	SCENITH_measure	0.13303840968056477
feces__GCDCA	CD4.central.memory__PS.ATP	-0.5454545454545454	0.00865021761649743	metabolite	SCENITH_measure	0.12037351020547628
feces__GCDCA	CD8.naive__Mitochondrial.dependence	0.6150357642305772	0.00231702027280014	metabolite	SCENITH_measure	0.05858509128304291
feces__Indole.3.Lactic.acid	CD4.naive__Mitochondrial.dependence	-0.642228862990377	0.00127017529469914	metabolite	SCENITH_measure	0.04075145737159741
feces__Indole.3.Lactic.acid	Mono.classical__Glucose.dependence	-0.5056960728118078	0.01635007817927934	metabolite	SCENITH_measure	0.15353122192737917
feces__Valeric.Acid	Mono.classical__PS.ATP	0.509090909090909	0.01552894898855693	metabolite	SCENITH_measure	0.1482308767089525
feces__Valeric.Acid	Mono.intermediate__PS.ATP	0.6181818181818182	0.00216737450916177	metabolite	SCENITH_measure	0.056893580865496465
feces__Valeric.Acid	CD4.Effector.memory__PS.ATP	-0.5909090909090909	0.00378143983680546	metabolite	SCENITH_measure	0.07530281054328115
feces__Valeric.Acid	Mono.intermediate__Mitochondrial.dependence	0.6438423286178846	0.00122348246795742	metabolite	SCENITH_measure	0.04075145737159741
feces__Valeric.Acid	CD8.naive__Mitochondrial.dependence	0.514807713763372	0.01422196884260296	metabolite	SCENITH_measure	0.14409100011584577
plasma__Butyric.Acid	Mono.classical__PS.ATP	0.509090909090909	0.01552894898855693	metabolite	SCENITH_measure	0.1482308767089525
plasma__Butyric.Acid	CD8.EMRA__PS.ATP	-0.7061521737462182	2.4009807978192288e-4	metabolite	SCENITH_measure	0.021331790934470837
plasma__Butyric.Acid	Mono.classical__Glucose.dependence	0.6697056099399618	6.512755879713153e-4	metabolite	SCENITH_measure	0.03377309771294673
plasma__CDCA	Mono.intermediate__Glucose.dependence	-0.6438423286178846	0.00122348246795742	metabolite	SCENITH_measure	0.04075145737159741
plasma__DCA	CD4.Effector.memory__PS.ATP	0.5181818181818182	0.01349353453341834	metabolite	SCENITH_measure	0.1404056971720557
plasma__DCA	CD4.naive__PS.ATP	0.5272727272727272	0.01168085770116746	metabolite	SCENITH_measure	0.12972491004661937
plasma__DCA	CD8.central.memory__PS.ATP	0.6363636363636364	0.00145289144656945	metabolite	SCENITH_measure	0.04234605191787172
plasma__GCDCA	Mono.intermediate__PS.ATP	0.48625899626414254	0.02175416530019754	metabolite	SCENITH_measure	0.17819901362927773
plasma__GCDCA	CD8.central.memory__PS.ATP	0.4770842982214229	0.02476003166546947	metabolite	SCENITH_measure	0.19162459191820283
plasma__GCDCA	Mono.intermediate__Mitochondrial.dependence	0.63595145315073065	0.00146652993654967	metabolite	SCENITH_measure	0.04234605191787172
