sample	bodysite	Malic Acid	Glucose	Lactic acid	Itaconic Acid	Succinic Acid	Fumaric Acid	Citric Acid	Isocitric Acid	Aconitic Acid	Ketoglutaric Acid	Picolinic acid	Quinolinic acid	3-OH-Kynurenine	Serotonine	5-OH-Tryptophane	Kynurenine	3-OH-Anthranilic acid	Tryptamine	Tryptophane	5-OH-Indole acetic acid	Indole-3-Sulfate	N-acetyl-serotonine	Xanthurenic acid	Indole-3-acetamide	Kynurenic acid	Indole-3-Lactic acid	Indole-3-Aldehyde	Indole-3-Acetic acid	Tryptophol	Melatonine	Indole-3-propionic acid	Indole	Acetic Acid	Propionic Acid	Butyric Acid	IsoButyric Acid	Valeric Acid	IsoValeric Acid	THCA	GHCA	TCA	GUDCA	CA-S	GCA	TUDCA	TCDCA	HCA	UDCA	TDCA	GCDCA	CA	GDCA	TLCA	LCA-S	CDCA	GLCA	DCA	LCA
Cosmic_60	feces	101.9	2964.1	9700.6	7.5	1557.9	161.3	610.4	75	352	1787	147.57	25	5	50.67	1.57	5	77.98	5.27	6679.79	1.5	10	2.56	2.41	0.54	1.64	386.46	101.7	30.24	16.55	0.5	44.33	501.14	29907.49	3645.21	148082.67	4205.79	915.74	834.71	3.75	3.75	3.75	3.75	3.75	1.96	3.75	2.1	3.75	33.87	2.6	2.32	11.31	25.12	25	37.5	11.17	8.33	5294.39	5776.54
HD_1-892	feces	11590.9	105776.3	2857.9	7.5	4231.9	4160.1	4698	75	976.8	20189.2	1426.16	25	5	24.91	2.41	3.74	500	2.68	5841.04	43.06	10	4.02	28.72	0.67	68.95	463.93	81.42	169.66	1.36	0.22	631.32	415.72	159489.58	38698.63	594061.09	6882.43	2003.43	773.34	3.75	3.75	3.75	3.75	3.75	6.39	3.75	3.75	3.75	3.75	3.75	3.75	37.5	3.75	25	37.5	37.5	12.5	304.55	1908.75
HD_2-901	feces	7765.7	89313.4	2242.6	7.5	3162.3	2467.8	888.8	75	445.4	7437.3	1778.13	22.82	9.71	26.54	2.32	3.24	62.33	40.17	2235.42	9.17	10	5.35	5.12	1	27.37	299.66	75.62	65.2	2.64	0.5	731.11	179.28	142850.14	20600.99	563136.24	3468.82	2234.95	412.84	3.75	3.75	3.75	3.75	3.75	3.75	3.75	3.75	3.75	5.89	3.75	6.79	37.5	6.97	25	37.5	37.5	12.5	1564.11	3496.28
HD_3-911	feces	8409.1	44513.4	1571.1	7.5	3059.8	2634.1	10228.3	75	526.5	9123.1	1124.15	17.44	5	35.08	2.06	3.05	73.99	3.23	5438.58	20.01	10	3.35	104.72	0.59	141.84	517.84	84.96	106.45	1.37	0.5	851.67	120.65	166801.65	35097.85	734625.63	4713.37	2147.53	444.48	3.75	3.75	3.75	3.75	3.75	4.3	3.75	2.19	3.75	3.4	3.75	3.82	37.5	2.37	25	37.5	37.5	12.5	240.55	1107.2
HD_4-913	feces	13692	31487.3	3023.8	7.5	1160.9	2567.6	2849.9	75	415.1	3995.7	287.69	17.46	5.84	157.47	0.89	5.43	32.19	5.97	4635.56	2.69	10	9.76	36.87	0.54	57.13	396.73	119.36	381.4	1.88	0.5	372.53	1985.78	95496.17	32747.59	656877.42	8703.41	2715.95	1231.05	3.75	3.75	3.75	3.75	3.75	3.86	3.75	2.87	3.75	19.16	2.64	2.08	259.65	11.39	25	37.5	243.52	12.5	7645.57	4766.69
HD_5-915	feces	19175.7	63016.2	3992.8	7.5	1214.1	5021.5	2645.4	75	637.6	5221.9	461.59	15.23	5	38.95	2.55	9.03	56.42	8.82	7654.2	1.76	10	3.44	37.72	1.22	65.12	499.62	109.18	234.95	1	0.5	336.56	1499.12	171236.07	53547.72	709612.22	5128.41	2082.7	631.1	3.75	3.75	3.75	3.75	3.75	3.75	3.75	3.75	3.75	9.88	3.75	3.75	37.5	4.98	25	270.02	37.5	12.5	6280.65	4414.41
HD_6-955	feces	17772.8	53679	4556.8	7.5	7671.3	3961.8	2069.8	75	335.6	6114.8	582.56	31.4	5	47.67	1.98	5.51	55.51	4.66	4999.6	3.4	10	4.32	13.14	0.38	49.14	711.07	159.81	1736.16	2.36	0.5	1099.49	556.93	152042.4	30574	771662.7	5918.41	2638.32	770.74	3.75	3.75	3.75	3.75	3.75	2.01	3.75	3.75	2.09	12.27	3.75	1.28	98.45	3.75	25	37.5	95.88	12.5	617.67	2189.43
HD_7-983	feces	27243.8	181029	4348.9	7.5	2255	5959.3	1823.2	75	815.6	2898.3	486.33	32.08	5	91.96	0.97	10.82	33.03	6.18	8315.34	16.42	10	6.84	50.16	1	70.81	461.9	64.34	1010.03	0.92	0.5	576.37	777.9	219198.98	82636.84	861962.55	4984.4	2356.13	563.74	3.75	3.75	3.03	3.75	3.75	9.36	3.75	10.65	2.02	17.43	9.06	17.09	328.25	22.46	25	186.38	685.7	12.5	6775.96	3881.97
HD_8-964	feces	8925.8	158907.9	11075	191.1	632.1	3500.1	1086	75	1053.1	2205.6	652.15	60.76	5	11.35	2.98	31.01	122.32	6.74	10097.34	19.92	10	1.48	140.25	0.37	60.57	560.69	58.76	40.16	0.66	0.5	381.31	333.13	381442.63	123842.38	1129275.24	1340.7	1306.46	123.81	3.75	3.75	3.75	3.75	3.75	3.75	3.75	14.26	12.33	76.91	10.41	46.9	1438.43	38.92	25	37.5	1910.73	12.5	7180.82	2287.46
HD_11-821	feces	11372.6	27450	3310.9	7.5	1068.9	3052.5	4557.1	75	305.1	14971.5	985.74	12.59	5.1	65.44	2.18	3.14	43.25	45.86	4124.74	1.8	10	1.55	5.95	1	28.76	340.92	193.4	113.77	3.7	0.5	186.57	276.4	69049	11915.49	51405.41	3106.75	683.16	448.74	3.75	3.75	3.75	3.75	3.75	3.77	3.75	2.47	3.75	2.38	3.75	4.51	37.5	4.06	25	37.5	37.5	12.5	619.72	3557.37
HD_12-1052	feces	14409.5	85026.1	1739.9	7.5	1498.5	4232	1607.7	75	571	2529.1	706.7	37.55	3.12	37.41	3.09	11.58	33.2	27.57	6689.67	12.42	10	4.04	75.62	3.87	81.42	261.68	66.05	1186.45	2.5	0.5	482.32	2017.4	213114.67	77682.66	1027819.61	5773.32	2801.65	689.52	3.75	3.75	3.75	3.75	3.75	3.75	3.75	3.75	3.75	26.01	3.75	4.23	175.46	10.53	25	37.5	343.85	12.5	10233.79	4773.08
Cosmic_27	plasma	3.48	71.6	3174.17	0.0075	3.81	0.88	94.02	2.62	8.5	13.5	7.5	262.061	10	18.75	4.393	1355.706	59.186	1	66920.807	11.984	1207.562	0.5	12.147	1	14.049	750.737	20.347	760.926	2.5	0.5	22.5	NA	103268	15230	8220	898	996	1282	7.829	30.373	18.651	7.716	1.25	84.284	3.75	47.74	2.5	1.25	12.5	123.466	19.674	3.75	12.5	2.5	11.384	2.5	3.75	125
Cosmic_31	plasma	2.49	60.4	2458.68	0.0075	3.58	1.02	124.87	4.8	11.81	8.31	19.453	333.233	42.428	18.75	7.291	1239.611	180.104	1	86895.463	82.128	1563.839	0.5	35.508	1	24.281	926.644	22.199	1224.453	2.5	0.5	1106.74	NA	100178	25395	22254	1526	882	2127	10.907	31.217	75.769	301.004	1.25	345.305	13.421	210.384	2.571	7.098	251.227	1398.915	20.524	1066.616	12.5	2.5	37.799	16.878	103.991	125
Cosmic_29	plasma	7.98	58.15	3637.03	0.0075	5.58	2.42	135.81	8.98	15.37	12.08	7.5	1046.862	63.087	18.75	13.244	2945.587	118.916	1	72178.654	28.346	1689.032	0.5	15.722	1	29.443	1336.625	14.526	1369.215	2.5	0.5	122.685	NA	146534	19596	20121	946	1026	671	2.5	3.151	22.111	5.103	1.25	151.052	3.75	55.747	2.5	1.25	12.5	469.685	33.157	3.75	12.5	2.5	108.658	2.5	3.75	125
Cosmic_36	plasma	8.67	66.7	4443.31	0.0075	5.56	2.48	148.72	10.22	13.63	10.06	7.5	890.4	43.675	18.75	18.976	3054.05	119.207	1	89984.975	27.399	8736.054	0.5	18.202	1	24.869	1693.786	19.882	1148.572	2.5	0.5	1509.738	NA	80222	66721	68034	2528	3361	1133	2.5	11.885	343.998	482.693	1.25	1624.202	38.748	665.428	2.5	10.417	306.303	2500	67.849	1586.705	12.5	9.248	100.869	47.348	258.875	125
Cosmic_32	plasma	2.18	45.45	1653.87	0.0075	3.67	0.69	86.41	3.66	5.14	6.14	7.5	523.937	261.556	18.75	8.348	2115.307	85.663	1	40557.417	10	112.5	0.5	4.742	1	6.905	748.021	12.5	230.503	2.5	0.5	22.5	NA	114161	17726	13290	930	944	520	2.5	1.25	12.5	3.75	1.25	22.173	3.75	18.698	2.5	1.25	12.5	242.921	6.877	3.75	12.5	2.5	11.936	2.5	25.166	125
Cosmic_39	plasma	1.76	290.72	3106.07	0.0075	2.56	0.63	71.2	0.44	0.5	4.4	7.5	781.842	32.738	806.561	8.825	1661.693	108.875	1	60119.515	10.547	7160.975	0.5	6.285	1	11.445	1019.347	12.5	733.193	2.5	0.5	522.767	NA	93369	23700	29571	1756	1288	1220	2.5	16.774	30.971	59.393	1.25	245.742	3.75	74.675	2.5	3.742	39.974	507.274	103.712	190.874	12.5	2.5	101.111	10.615	113.713	125
Cosmic_34	plasma	3.74	56.12	2407.71	0.0075	5.09	0.89	133.89	6.26	9.61	4.89	7.5	653.775	47.357	18.75	8.046	1593.188	29.389	1	36033.157	25.412	2644.446	0.5	2.5	1	7.549	769.591	12.5	502.175	2.5	0.5	22.5	NA	68435	14807	15172	934	715	494	2.5	3.629	12.5	3.75	1.25	65.408	3.75	10.492	2.5	1.25	12.5	235.284	13.361	3.75	12.5	2.5	16.462	2.5	28.012	125
Cosmic_40	plasma	3.71	37.27	2732.3	0.0075	4.53	0.94	138.62	8.94	11.65	6.24	7.5	447.707	60.48	18.75	8.459	1574.508	61.597	1	69138.149	29.935	4422.829	0.5	12.942	1	21.874	1129.714	12.5	1077.038	2.5	0.5	903.257	NA	65014	15831	15560	929	810	1012	2.5	3.373	16.361	71.138	1.25	100.877	3.75	100.253	2.5	6.376	163.494	718.402	28.301	994.833	12.5	8.472	46.292	22.864	347.506	125
Cosmic_35	plasma	5.8	40.72	2951.23	0.0075	4.3	1.55	149.78	4.82	12.07	5.74	8.655	265.855	10	18.75	6.619	820.675	53.16	1	43386.921	11.059	234.648	0.5	18.154	1	17.503	537.696	12.5	445.418	2.5	0.5	47.841	NA	564374	20793	11118	1751	919	1978	2.5	5.471	12.5	3.75	1.25	14.574	7.473	62.527	2.5	1.25	12.5	75.718	3.75	3.75	12.5	2.5	7.822	2.5	13.814	125
Cosmic_41	plasma	3.04	53.49	2145.79	0.0075	3.27	0.7	116.7	3.09	7.18	3.67	7.5	234.031	37.681	18.75	4.732	854.72	67.375	1	51289.817	17.305	1671.897	0.5	15.312	1	13.614	493.545	12.5	1016.507	2.5	0.5	2237.082	NA	189992	21214	17553	1239	835	745	2.5	7.152	12.5	17.871	1.25	16.719	3.75	34.053	2.5	3.124	25.948	114.834	12.978	54.98	12.5	2.5	16.182	8.99	40.438	125
