sample	bodysite	Malic Acid	Glucose	Lactic acid	Itaconic Acid	Succinic Acid	Fumaric Acid	Citric Acid	Isocitric Acid	Aconitic Acid	Ketoglutaric Acid	Picolinic acid	Quinolinic acid	3-OH-Kynurenine	Serotonine	5-OH-Tryptophane	Kynurenine	3-OH-Anthranilic acid	Tryptamine	Tryptophane	5-OH-Indole acetic acid	Indole-3-Sulfate	N-acetyl-serotonine	Xanthurenic acid	Indole-3-acetamide	Kynurenic acid	Indole-3-Lactic acid	Indole-3-Aldehyde	Indole-3-Acetic acid	Tryptophol	Melatonine	Indole-3-propionic acid	Indole	Acetic Acid	Propionic Acid	Butyric Acid	IsoButyric Acid	Valeric Acid	IsoValeric Acid	THCA	GHCA	TCA	GUDCA	CA-S	GCA	TUDCA	TCDCA	HCA	UDCA	TDCA	GCDCA	CA	GDCA	TLCA	LCA-S	CDCA	GLCA	DCA	LCA
Cosmic_60	plasma	3.21	71.98	2452.6	0.0075	5.29	1.17	140.59	6.76	10.69	5.52	9.222	405.705	48.508	18.75	8.498	2207.639	68.88	1	56100.636	25.754	9823.567	0.5	15.029	2.765	18.444	1146.534	12.5	2512.312	2.5	0.5	2098.399	NA	55559	23594	22464	1971	1557	943	2.5	3.077	12.5	21.625	1.25	10.6	3.75	24.715	2.5	8.322	39.566	150.63	6.249	225.916	12.5	2.5	12.709	10.297	3.75	125
HD_1	plasma	2.71	41.27	3127.42	0.0075	3.23	0.94	106.02	3.13	9.01	5.83	11.178	318.775	24.043	18.75	6.132	1613.389	94.573	1	70967.858	18.124	1335.46	0.5	16.228	1	19.707	1212.275	12.5	1115.507	2.5	0.5	1573.831	NA	127003	21196	13313	717	520	1340	2.5	14.917	29.129	43.62	1.25	183.215	3.75	139.791	2.5	1.25	83.796	906.255	15.974	319.598	12.5	3.172	23.999	34.24	53.044	125
HD_2	plasma	5.14	57	8012.51	0.0075	4.63	1.65	121.08	7.05	12.22	12.95	7.701	254.011	54.634	18.75	5.775	1112.839	63.902	1	51460.097	15.269	6469.353	0.5	24.28	2.064	21.13	1295.669	20.452	1172.694	2.5	0.5	978.661	NA	44824	17137	17192	1145	69.75	1133	2.5	3.307	12.5	127.682	1.25	55.266	3.75	66.214	15.24	26.435	82.518	837.898	200.583	872.766	12.5	11.863	428.408	62.156	1241.724	125
HD_3	plasma	3.1	96.66	6943.06	0.0075	4.93	0.83	81.86	3.65	6.76	6.79	7.5	287.043	31.388	38.101	5.912	1331.544	74.589	1	54555.707	10	897.673	0.5	11.691	1	10.202	751.732	12.5	404.469	2.5	0.5	2402.633	NA	61864	13360	11027	483	498	558	2.5	4.126	54.876	49.109	1.25	277.601	3.75	128.682	4.849	3.812	86.1	858.08	156.229	398.79	12.5	16.874	154.719	19.536	284.712	125
HD_4	plasma	2.83	95.71	2504.81	0.0075	4.57	0.8	107.56	4.32	7.06	5.25	7.5	266.75	50.967	26.665	5.463	928.573	56.773	1	53016.326	17.526	903.127	0.5	5.668	1	8.788	642.378	12.5	743.636	2.5	0.5	387.631	NA	54044	1000	10881	654	69.75	382	10.701	61.365	206.094	359.716	1.25	1463.164	14.369	344.135	11.035	7.153	173.123	2500	251.374	1235.915	12.5	2.5	385.447	18.961	3.75	125
HD_5	plasma	5.06	69.34	10868.3	0.0075	5.82	1.21	96.53	4.45	9.02	9.53	7.5	430.056	41.993	192.11	5.572	1398.853	90.499	1	57056.133	16.501	2920.546	0.5	17.745	1	18.492	1192.833	12.5	788.611	2.5	0.5	971.924	NA	64360	27738	12194	1451	549	864	2.5	2.95	19.734	138.134	1.25	169.956	3.75	88.47	15.462	30.236	12.5	847.966	1080.497	527.569	12.5	40.263	1055.565	43.415	1065.106	125
HD_6	plasma	3.79	119.96	4097.19	0.0075	4.79	1.28	116.63	3.14	6.25	5.92	21.902	154.538	66.392	71.489	4.135	959.113	110.516	1	46337.071	10.434	1283.034	0.5	20.474	2.2	11.582	570.505	12.5	1115.98	2.5	0.5	106304.83	NA	77130	11216	17774	946	370	526	2.5	29.489	12.5	343.225	1.25	103.829	4.707	144.652	10.849	15.984	53.431	1590.61	20.603	402.096	12.5	3.235	459.711	4.527	139.386	125
HD_7	plasma	3.58	170.26	3435.81	0.0075	5.64	0.8	113.79	7.47	9.71	7.95	10.156	223.843	29.84	1290.505	4.982	917.846	107.975	1	51655.512	11.493	1719.576	0.5	17.736	1	20.023	676.427	12.5	654.94	2.5	0.5	71076.36	NA	63455	25772	46172	1169	898	970	2.5	11.379	36.938	142.11	1.25	216.236	3.75	119.624	3.174	12.47	175.416	1095.612	51.433	1059.477	12.5	2.5	484.778	78.743	711.554	125
HD_8	plasma	3.54	86.32	2070.8	0.0075	6.58	0.79	134.01	7.15	9.74	4.89	7.5	151.033	32.882	40.554	13.247	945.77	30.481	1	46490.301	10.978	927.362	0.5	2.5	1	4.637	374.288	12.5	270.918	2.5	0.5	34.54	NA	183510	1000	4142	466	69.75	409	2.5	2.94	13.667	10.713	1.25	49.61	3.75	176.757	2.5	1.25	12.5	906.433	22.709	7.781	12.5	2.5	43.984	2.5	3.75	125
HD_9	plasma	1.67	210.6	2088.02	0.0075	2.95	0.65	128.54	3.37	6.57	4.5	14.966	211.184	57.242	18.75	5.917	799.641	59.667	1	67851.909	10	5140.679	0.5	10.244	1.847	8.084	773.188	15.687	609.487	2.5	0.5	1491.065	NA	158804	34163	47282	899	948	2157	2.5	8.449	12.5	53.86	1.25	103.645	3.75	44.747	2.5	7.85	63.504	678.317	31.524	444.999	12.5	15.086	104.701	96.928	737.835	125
HD_10	plasma	4.71	120.88	4624.85	0.0075	3.93	1.07	148.79	5.82	11	10.27	7.5	236.882	35.831	44.59	6.59	1531.803	67.254	1	53943.143	12.664	2279.201	0.5	10.854	1	13.038	1153.957	13.662	838.357	2.5	0.5	4106.093	NA	75744	25441	16563	1096	941	1107	8.749	22.82	171.002	195.971	1.25	1172.337	3.75	661.879	3.972	2.881	304.51	2500	32.837	1251.641	12.5	2.5	55.572	172.938	3.75	125
HD_11	plasma	3.53	157.71	2040.2	0.0075	6.55	0.85	120.72	7.48	10.61	4.59	7.5	181.408	10	51.396	12.417	917.183	34.034	1	46818.138	10	798.811	0.5	2.5	1	4.109	323.52	12.5	258.113	2.5	0.5	22.5	NA	184038	1000	4618	388	69.75	388	2.5	2.518	12.5	8.879	1.25	41.432	3.75	185.127	2.5	1.25	296.672	880.576	21.593	3.75	12.5	2.5	40.53	2.5	3.75	125
