pathway	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3_911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
PWY-5972: stearate biosynthesis I (animals)	3.89271e-7	0	0	0	0	0	4.63706e-7	0	0	7.52467e-7	0	0	0	0	3.44526e-6	7.83102e-6	1.2704e-6	0	7.11352e-7	0	4.03265e-6	0	1.64868e-6	1.68226e-5	0	0	0	1.69632e-6	0	0	0
PWY0-1337: oleate &beta;-oxidation	3.50147e-7	0	1.0221e-6	0	0	1.9063e-7	0	0	0	0	1.53991e-4	3.59187e-5	0	4.32909e-5	1.52926e-4	1.28586e-4	2.1003e-7	0	4.46605e-6	0	8.62074e-5	1.10229e-4	2.7967e-6	1.36089e-4	0	0	5.59299e-5	8.02491e-6	0	0	0
PWY0-1221: putrescine degradation II	3.41588e-7	0	0	0	0	0	0	0	0	0	5.07165e-5	9.93071e-6	0	0	0	2.8397e-6	1.68194e-7	0	0	0	3.61594e-5	6.85702e-6	0	2.53167e-5	0	0	3.89284e-6	1.24692e-7	0	0	0
PWY-7094: fatty acid salvage	3.12113e-7	0	1.66202e-6	0	0	1.70156e-7	0	0	4.35495e-7	0	1.38502e-4	3.4204e-5	0	3.74256e-5	1.51281e-4	1.18506e-4	1.72472e-7	0	4.76683e-6	0	7.86513e-5	1.00419e-4	2.67586e-6	1.27065e-4	0	0	4.87935e-5	7.48604e-6	0	0	0
PWY-7209: superpathway of pyrimidine ribonucleosides degradation	0	6.13006e-5	5.08389e-5	2.66504e-5	0	7.66524e-5	1.65823e-5	5.76411e-5	5.46934e-5	5.51018e-5	4.26454e-6	1.65575e-5	0	9.24174e-6	2.19468e-5	0	1.87646e-6	5.07206e-6	2.32627e-6	1.83933e-5	1.17605e-5	1.99372e-5	1.63433e-5	5.41085e-6	2.55346e-5	0	2.34762e-5	8.67038e-6	2.02747e-5	1.98485e-5	2.64073e-5
PWY-7196: superpathway of pyrimidine ribonucleosides salvage	0	8.55384e-6	3.72089e-5	1.80416e-5	0	1.10009e-4	1.21183e-5	6.0714e-5	4.52269e-5	8.19541e-5	0	7.65802e-6	0	0	2.84062e-6	4.67819e-6	3.52224e-5	1.36873e-5	1.80116e-5	4.0853e-6	7.09085e-6	0	1.55393e-6	1.56013e-5	4.02257e-5	0	0	6.77333e-6	5.6997e-5	0	3.39773e-5
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0	3.0243e-6	6.87053e-6	0	0	0	0	0	0	0	2.19758e-4	1.029e-4	0	1.44459e-4	1.86018e-4	2.85986e-4	1.03316e-5	0	2.97015e-5	0	1.34617e-4	2.17948e-4	1.60055e-5	2.28833e-4	0	0	1.8819e-4	4.42843e-5	0	5.69257e-6	0
PWY-8188: L-alanine degradation VI (reductive Stickland reaction)	0	2.57942e-6	0	5.21721e-6	2.30924e-6	0	0	1.17779e-5	0	0	0	0	5.31365e-6	0	0	0	1.39801e-5	0	0	1.24142e-6	0	0	0	0	2.50784e-6	3.26937e-6	0	4.89753e-6	3.31121e-6	0	0
PWY-8189: L-alanine degradation V (oxidative Stickland reaction)	0	2.57942e-6	0	5.21721e-6	2.30924e-6	0	0	1.17779e-5	0	0	0	0	5.31365e-6	0	0	0	1.39801e-5	0	0	1.24142e-6	0	0	0	0	2.50784e-6	3.26937e-6	0	4.89753e-6	3.31121e-6	0	0
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	0	2.57942e-6	0	5.21721e-6	2.30924e-6	0	0	1.17779e-5	0	0	0	0	5.31365e-6	0	0	0	1.39801e-5	0	0	1.24142e-6	0	0	0	0	2.50784e-6	3.26937e-6	0	4.89753e-6	3.31121e-6	0	0
P261-PWY: coenzyme M biosynthesis I	0	2.57311e-6	0	2.31874e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0	2.14736e-6	4.56563e-6	0	0	0	0	0	0	0	2.1178e-4	1.01659e-4	0	1.31448e-4	1.76486e-4	3.11878e-4	6.08641e-6	0	2.33474e-5	0	1.31151e-4	2.12353e-4	1.36722e-5	2.28027e-4	0	0	1.78099e-4	3.21726e-5	0	4.82334e-6	0
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	0	1.37989e-6	1.55766e-5	1.91781e-6	0	1.30358e-5	2.54869e-6	7.78871e-6	5.5466e-6	5.92125e-6	0	0	0	0	0	0	0	1.79146e-6	0	1.25688e-6	0	0	0	0	8.62896e-6	0	0	2.97515e-7	1.18114e-6	0	9.26286e-6
PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway)	0	1.16342e-6	0	2.3895e-6	1.04361e-6	0	0	5.64888e-6	0	0	0	0	2.47166e-6	0	0	0	7.32763e-6	0	0	5.58754e-7	0	0	0	0	1.1312e-6	1.49688e-6	0	2.25425e-6	1.50911e-6	0	0
PWY-5104: L-isoleucine biosynthesis IV	0	6.19511e-7	1.76639e-6	0	0	1.67775e-6	0	0	0	0	1.12484e-4	5.76762e-5	0	0	0	0	4.39734e-6	4.71921e-6	3.75018e-6	0	1.01672e-6	0	5.61212e-6	0	0	0	0	4.916e-6	0	0	0
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	0	6.08074e-7	1.22884e-6	0	0	0	0	0	0	0	1.7082e-4	5.36587e-5	0	1.10875e-4	1.43587e-4	1.61679e-4	2.28833e-6	0	2.69512e-6	0	1.01896e-4	1.66091e-4	2.6157e-6	1.70587e-4	0	0	1.38982e-4	1.1183e-5	0	1.65262e-6	0
PWY-6143: CMP-pseudaminate biosynthesis	0	3.43011e-7	0	1.48876e-6	1.58551e-6	0	0	8.1445e-7	0	0	0	0	0	0	0	0	0	2.33271e-6	0	0	0	0	0	0	0	2.43474e-6	1.55392e-6	8.97844e-7	0	5.46524e-7	0
PWY-3781: aerobic respiration I (cytochrome c)	0	8.96946e-8	0	0	0	0	0	0	0	1.41535e-6	0	0	0	0	2.68201e-5	2.62476e-5	0	0	0	0	3.00051e-5	3.09328e-7	3.00905e-6	1.1877e-4	0	0	0	0	0	0	0
PWY-5897: superpathway of menaquinol-11 biosynthesis	0	0	7.76686e-6	5.61161e-6	5.11652e-6	1.14114e-5	3.59008e-6	6.52978e-6	8.68787e-6	1.07643e-5	2.61402e-4	7.26255e-5	5.01379e-5	1.74427e-4	2.35733e-4	2.56542e-4	5.8836e-5	4.23445e-6	3.78087e-5	1.01875e-5	2.23538e-4	2.27593e-4	1.108e-4	2.83159e-4	2.25912e-5	3.12509e-5	2.4273e-4	5.41596e-5	1.05092e-5	1.49405e-5	3.69594e-5
PWY-5898: superpathway of menaquinol-12 biosynthesis	0	0	7.76686e-6	5.61161e-6	5.11652e-6	1.14114e-5	3.59008e-6	6.52978e-6	8.68787e-6	1.07643e-5	2.61402e-4	7.26255e-5	5.01379e-5	1.74427e-4	2.35733e-4	2.56542e-4	5.8836e-5	4.23445e-6	3.78087e-5	1.01875e-5	2.23538e-4	2.27593e-4	1.108e-4	2.83159e-4	2.25912e-5	3.12509e-5	2.4273e-4	5.41596e-5	1.05092e-5	1.49405e-5	3.69594e-5
PWY-5899: superpathway of menaquinol-13 biosynthesis	0	0	7.76686e-6	5.61161e-6	5.11652e-6	1.14114e-5	3.59008e-6	6.52978e-6	8.68787e-6	1.07643e-5	2.61402e-4	7.26255e-5	5.01379e-5	1.74427e-4	2.35733e-4	2.56542e-4	5.8836e-5	4.23445e-6	3.78087e-5	1.01875e-5	2.23538e-4	2.27593e-4	1.108e-4	2.83159e-4	2.25912e-5	3.12509e-5	2.4273e-4	5.41596e-5	1.05092e-5	1.49405e-5	3.69594e-5
