pathway	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3_911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
PWY-7238: sucrose biosynthesis II	15044.0653361455	23523.2778024316	35586.5709097757	23447.4597620555	15267.9355034199	34942.2935153215	28907.5077850281	36598.0055134799	18839.6673350313	42993.4607397268	30511.5426459212	26978.4564399759	14840.8265823214	3293.2384435095	26339.9285366062	6293.057960098	22279.9773848618	7930.5815472171	12842.8719953006	26169.831973155	11693.3603638196	27128.6586700848	10771.8177497075	21215.5226427582	16519.6882944657	20817.7111656339	30719.0228234199	20179.425697787	17700.0387029019	21943.4993718999	19225.4371385107
VALSYN-PWY: L-valine biosynthesis	12147.9175554685	15819.4716442188	24267.8482932184	16445.7239326297	11556.599914648	22867.3101312106	18966.2205610344	28262.1445819115	12680.5569525311	28417.3450877864	26471.3632631546	24632.3994360091	13166.2629803185	3642.331921726	32155.6370663814	12280.2352782354	22300.3300925814	5676.8491350656	10663.5702081691	25754.5930365557	14839.4068707496	32931.2563711947	12073.3450304756	26743.4310445067	12778.1305967163	14628.8337646613	52024.0655664409	15745.3962788354	18491.4555563252	17735.2494393509	17291.4595298648
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	11751.3506339248	17740.5290938667	30821.2427677177	17999.1916197521	12273.5580502869	26699.323908539	25910.2957494019	26574.6798789563	15866.8751729829	34617.1340179682	21005.1596439571	21203.4896629208	11795.2366494502	4485.2511505064	25283.2983652359	7034.0798194004	21995.4413088391	6210.1430317153	10389.5057131845	20031.6204206352	8535.1835437099	23862.9747667296	7118.1888631024	16247.7576787738	11919.2719451282	16189.4124721111	28275.596648025	16905.8563361885	13204.4535717963	17292.145211259	16542.6425261799
PWY-5941: glycogen degradation II	11410.9742361445	17968.1773178105	31229.025052935	18007.6143150712	12615.8344091122	31186.875779116	25213.8160236358	30177.3579560302	16299.1173752631	38761.3784569424	28436.2364692648	21920.2953983288	9707.3929826207	3814.4838236078	28451.1766896969	6930.652407194	20571.0182134606	5784.9642460282	8798.3717848808	23079.3458106661	11588.7146857317	28490.396609183	8513.7625520042	21333.8406460159	11880.3478370364	14841.9004457037	31972.1165975521	17621.2498724524	16102.3760415718	16563.4681166944	14018.8960074176
PWY-1042: glycolysis IV	11273.2173648366	15862.2300919651	25659.3034946779	16093.9162627154	11228.8269294462	24410.3412051225	22040.7897842548	26963.5173237293	13670.0013414222	31093.0482940336	29925.9269475073	27433.5889082736	11842.0567894428	6106.6532952843	33846.4782415678	14866.9342792609	22369.7024633665	5759.6305644897	10823.0946625896	27650.4906480722	11218.6885687829	46849.251937141	12335.7224956052	28827.4937557552	13303.3151096509	16302.5311253063	49478.2432754858	19051.1151526041	19308.0162721521	19209.2281690522	19127.1009252125
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	11039.8241573521	15270.2777032722	23585.2537478961	15580.3012130434	10529.9938708717	21422.9559941628	19852.3879605187	24052.7498772912	12481.792908482	27427.1508386324	18233.4285314534	18022.2925296717	9038.1168668474	2993.6563620519	22932.4150832529	10007.9658961875	16592.9433912921	5053.3752544983	8371.9606039878	17574.3353750054	8437.6262802511	23401.5429101528	5237.3597071174	19578.6201250224	9995.8201925438	11991.4568533184	30654.3745514248	12898.6757111885	11844.5264939232	14889.5592718262	13522.8048578777
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	10943.0972447767	14727.6002630731	24849.6430108701	14834.5960289171	10402.2560313209	21944.157004123	20697.6858971361	24704.9082509129	13301.2214372676	28715.5820182773	22085.3234504188	18995.7705045966	11124.5211245071	3609.9372750495	26292.2509950625	9362.4842121012	20785.1540448669	5690.9850025961	10172.1281852452	20472.1127929291	7632.3615043403	26031.0557610573	10009.8616174938	21198.9399176789	11950.9066797801	14386.4720056658	36070.6580958094	16046.3485011936	15527.5232770499	17221.2206905073	17402.1935237785
PWY-5686: UMP biosynthesis I	10861.9513817901	14362.5144455185	22249.4505561329	15179.3680184579	10594.4268399139	21593.0234065425	18541.4690255093	24059.8392408193	11764.7621314909	26286.3935956979	21020.6343496521	18707.5719460701	12836.8393875863	3100.6196896865	21453.3199506767	12368.7469769305	20275.9640173964	6135.4648777308	11014.0274374549	24388.466020119	6069.4890090507	22817.5245662138	10300.6097669351	20119.7394213276	12142.7246533189	15261.4212074066	31076.287899828	16470.4671787196	17797.921788278	18430.0028666799	18247.7834869973
PWY-7790: UMP biosynthesis II	10861.9513817901	14362.5144455185	22249.4505561329	15179.3680184579	10594.4268399139	21593.0234065425	18541.4690255093	24059.8392408193	11764.7621314909	26286.3935956979	21020.6343496521	18707.5719460701	12836.8393875863	3100.6196896865	21453.3199506767	12368.7469769305	20275.9640173964	6135.4648777308	11014.0274374549	24388.466020119	5941.570706535	22817.5245662138	10300.6097669351	20119.7394213276	12142.7246533189	15261.4212074066	31076.287899828	16470.4671787196	17797.921788278	18430.0028666799	18247.7834869973
PWY-7791: UMP biosynthesis III	10861.9513817901	14362.5144455185	22249.4505561329	15179.3680184579	10594.4268399139	21593.0234065425	18541.4690255093	24059.8392408193	11764.7621314909	26286.3935956979	21020.6343496521	18707.5719460701	12836.8393875863	3100.6196896865	21453.3199506767	12368.7469769305	20275.9640173964	6135.4648777308	11014.0274374549	24388.466020119	5941.570706535	22817.5245662138	10300.6097669351	20119.7394213276	12142.7246533189	15261.4212074066	31076.287899828	16470.4671787196	17797.921788278	18430.0028666799	18247.7834869973
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	10838.1263304534	14271.4217956137	22723.7816544285	14903.0453334488	10057.4630963096	20503.4286236713	18790.2938409011	23386.6941891669	11591.7170201239	26039.7689833146	18520.9198268262	17546.9862210457	9064.9735393774	3038.5389887204	21856.1279621484	10894.3564561951	16256.5929790916	5080.6919391363	8389.9006806978	17829.7188814051	9135.1813502255	22553.7675484423	5324.3649639626	20013.8719091672	9805.3845560781	11852.5029215134	30411.7704451679	12766.2333748088	12100.255016062	14756.8282535252	13576.2380507136
ARO-PWY: chorismate biosynthesis I	10631.7731946987	14674.7482147212	24120.9930798084	14699.6860769193	10212.2027163332	21720.6961955942	19882.7641491463	23731.3266145855	12873.247301191	28197.3775625199	22348.9737013133	20084.5944760472	10653.2396990461	3974.3201767435	26446.9666275281	9426.0490269517	20343.721001226	5499.0110611136	9763.1745375713	19896.8074918254	8235.6399758911	28030.4007010695	9047.8393073282	21350.1358736893	11220.3105752816	13709.9963614716	38377.4756036602	15853.3311090426	14615.7458204345	16890.4349813706	16765.9632701683
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	10362.8072765806	15310.9456985154	24254.2718096377	15206.9005337971	10530.2038156608	22386.8460784176	20319.557315909	24754.7560018696	12880.8166607293	28268.3324827244	23338.7015651356	21189.1102204402	11171.274117054	3867.8045568433	27135.3865923464	9847.5159683026	21049.8507855409	5625.6672513562	10277.6231394022	20561.0853776078	8319.9939429157	28625.9277673447	8855.6905920336	22533.0328867131	11864.5715922218	14330.3723254438	38177.0605411515	16409.0147521079	15359.9591926381	16645.093557958	17352.6284970485
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	10179.1330186503	12093.1399834221	22011.1413785144	12932.0062329044	10319.6633234499	20618.976459355	18145.5593540283	19853.4312318034	11461.0145901186	27792.8304660363	28244.6508803866	20012.2133852905	14198.2299880249	278.787750552	11194.023911932	4890.8543561296	25775.5790448679	5919.5934291816	11970.3996776547	33460.4750511334	3618.0598311745	7606.0742067719	10717.7059608235	7004.5781201732	12932.4381240969	17293.1929935767	16954.878533948	17618.0573555209	22053.3681261502	17837.1357980595	19809.4772380039
PWY-6609: adenine and adenosine salvage III	10000.7734192576	12172.1659158798	22139.178519944	13718.6963400113	9885.0494335203	17569.8775496856	17715.4372055224	21725.6848570968	11448.8321915807	26937.0390855529	18344.5820460049	22431.0351025629	11552.1297568425	2488.3170997336	20957.7176422904	11295.3845967783	20544.8362836441	6003.7185519593	10511.4574883716	21413.4384627523	6678.8725320639	22283.5840027779	9418.3284673066	19546.6588859304	10899.4867022661	14354.968788013	26660.9661153601	15764.3009177957	15187.2545905733	16363.2800447552	18188.9921554681
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	9967.4670236206	13749.7975358388	21656.8651294176	14159.6093148643	9804.2084898355	20617.4063568108	17996.1704449609	22256.145125961	11642.3799591881	25491.0763777481	20413.0534521486	19784.6479878059	10517.02153299	3250.6726321349	23287.8718418816	13454.0157324272	17060.8256909662	5181.7603489591	8520.134775882	20028.4592335183	9822.1570995182	25398.392046705	10726.5904950531	27179.4363987479	9820.5293120587	11718.4862586401	38093.5640951871	16014.115716229	15296.5286015891	14795.4476564473	14186.3471981883
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	9967.4670236206	13749.7975358388	21656.8651294176	14159.6093148643	9804.2084898355	20617.4063568108	17996.1704449609	22256.145125961	11642.3799591881	25491.0763777481	20413.0534521486	19784.6479878059	10517.02153299	3250.6726321349	23287.8718418816	13454.0157324272	17060.8256909662	5181.7603489591	8520.134775882	20028.4592335183	9822.1570995182	25398.392046705	10726.5904950531	27179.4363987479	9820.5293120587	11718.4862586401	38093.5640951871	16014.115716229	15296.5286015891	14795.4476564473	14186.3471981883
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	9796.2446728484	13068.4591019629	21075.8685073011	13887.8556541476	9749.2393976036	19354.4367013458	17645.6987662282	20595.9846684257	11439.5132234538	24972.1355838573	19448.3915611636	19342.4871858966	10557.3856525581	2701.6117997291	21512.8547193421	12780.4854603621	17289.0579505965	5242.03530694	8724.1796070908	17606.2358184847	9065.1250392343	23718.2278396409	9483.1802382439	25175.318825398	9926.797671347	11832.7813818782	33675.9340295397	15825.5416311533	14070.7173691441	14414.9982952649	14223.8560728946
GLUTORN-PWY: L-ornithine biosynthesis I	9729.7131790216	13715.5018366528	21039.4090582551	13632.1355363138	9310.752751916	19415.7226236032	17723.4873001087	21362.4220830009	11335.962008039	24830.0157208232	18094.0909170846	15178.4453055657	8248.635308651	3125.0497361086	21885.666799976	8429.8271662277	15231.9430643557	4222.6866417489	7074.8300875569	17067.517194612	10242.8345558963	21883.8849778618	5039.0797867737	19530.6594942581	8784.7845233763	10680.1314920283	32374.8663192262	11903.5450870492	10757.9668645128	13247.4296684085	11171.2788343272
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	9710.0363647712	14359.5195359047	22756.2029297817	14696.7679472633	9586.7941505425	22028.505175572	19090.2403705294	24605.8214519693	11986.8475834253	27286.9780861425	22443.1771694471	19977.6751732199	11198.107251293	2992.5569531765	20181.3471545393	12081.4656824102	19815.2727925656	5671.0776597955	10596.273198981	23148.2959117639	7168.1727719807	20243.1567052433	10770.9380036488	20705.6401989297	11800.9699545196	15568.7012687987	28792.5253757336	16397.651710038	17718.663744877	17492.1861682236	19639.244538593
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	9540.4093809869	13823.6395818434	21831.1084614895	14365.6926509211	9408.791133536	21272.0040644264	18346.4676341205	23988.689556163	11536.4232861966	26097.7395824397	22638.1131406839	19788.8705973757	10899.2072215369	3086.1421563101	21026.3711885885	12171.5149246152	19363.3394172075	5565.5615932204	10493.4884293148	22955.0762188719	7496.0154735282	20908.6156329693	10799.9441126776	22205.5255653294	11603.6597272859	15355.3035833103	31404.7689254114	15974.0792633244	17442.565877927	17271.355019225	19463.9354544807
TRNA-CHARGING-PWY: tRNA charging	9516.0257261269	12879.6943612827	20041.1765484389	13426.1351906485	9225.9475033292	19515.720352668	16581.4555664524	22892.4932012862	10598.9703443709	24084.4329594143	21941.0084490216	17594.3401278413	10692.5006585016	3297.6545788067	24322.646915106	11018.0754813558	17634.9429868383	5485.2235836019	9591.8235881626	20690.8590053393	9255.4251798735	25332.3260415248	9223.9991872299	21733.838759903	10862.8751408226	14021.4380612269	33851.7386577544	14136.5792742628	14875.37661014	15851.584083672	17855.308379653
NONMEVIPP-PWY: methylerythritol phosphate pathway I	9254.7363133985	13187.2023379079	20779.2369531367	13417.5530149048	9194.1482510789	21205.1591221014	17893.454968146	23221.6493315472	11272.1727251281	25120.8088143488	20000.1049434035	14946.9922409799	11224.7505540997	2301.4064968119	20096.9682626081	7174.41754269	16963.432320881	5574.871831884	9974.0366563209	19827.4273570564	6881.5957659871	18410.237866228	10544.0074372367	17956.3435561497	11507.3408309593	13707.1181355331	27227.1987013154	14878.6982127983	16022.3507596755	16583.9861970753	17043.8637757922
PWY-7221: guanosine ribonucleotides de novo biosynthesis	9235.4102232076	13340.7444813682	20979.360715866	13245.4416499945	9401.4349134308	22198.7377012725	17802.9471838894	22902.9946611693	11266.1315105944	26031.3785338559	21862.4307361942	22187.6505071603	11681.1856246002	2221.2707933663	19085.3918527302	11296.4991080959	20112.0733769178	5402.39736968	10558.6454699786	26549.5486085113	6200.0129830623	19506.2606806421	11404.3950912501	21291.4932608499	11825.2641358815	13749.3279253304	26294.2818014684	15516.814747253	19178.0657148791	17775.1817064529	16789.9420274321
PWY0-1296: purine ribonucleosides degradation	9098.7119133869	10659.3285252897	20021.8491688771	11710.9769884588	8662.6471247472	14942.6834501807	15827.6838340528	16801.6602639731	10321.8288519773	23922.4322231699	25545.4981167393	23783.6825358337	8293.1514896628	2181.03492788	22635.323767387	12726.9904059308	17021.2726328879	4269.0081097565	8125.9457248719	16741.774791486	7603.3499037466	22483.6873567348	3958.3535392033	20834.5977362447	9193.240003771	13553.3860445996	26233.4001986135	11201.1260950902	10193.6723010245	12555.9621644362	14066.8324156627
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	9067.9752174246	13486.3873174517	21543.0503291522	13731.6640386566	8955.5207739244	21046.1921838143	18150.2855523788	23672.6110811975	11426.6695092636	25755.3917681019	22106.1010322343	19311.8353871851	10760.0684366747	2965.7214834022	20709.0312354833	12020.0655676144	19095.023833657	5439.2851831225	10024.535696398	22836.139765434	7367.2711711419	21238.0724532692	10667.1527985206	22136.8976688911	11242.111050196	15306.9306733354	31188.0551394761	15497.0323788393	17166.9565184961	16849.9912893084	19386.8284528852
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	8918.368024584	12016.3580936972	18473.6358301072	12090.9639934129	8557.2171823612	18209.5974312368	15307.9915523624	19405.7143780402	10412.6670365351	22616.4109152247	15410.9365952788	16290.7659135112	10703.5304623735	1410.7164438567	14164.4900873549	10375.8327679299	17636.3492849882	4785.0471987525	8548.969954346	16134.7451123969	4645.3109809955	13713.401681426	8001.2672795359	18385.3680135685	9642.4903373924	11370.9240140187	21597.8713918987	13344.4720547805	12874.4435816922	13821.667255498	14111.4524589996
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	8505.2375941326	12114.1165143283	19720.1768973153	13306.4910239382	8918.3151256157	20079.4017584728	16667.8721350602	21208.3535996911	10188.8376803859	23351.9608302187	23585.9253442679	20035.4569174905	10760.0684366747	3294.6011719767	22735.4639817283	12719.2122291632	18581.9625273602	5439.2851831225	10010.3627795431	21114.6237037905	8004.5119063217	22783.7789474525	10773.0832844705	23223.3940907533	11242.111050196	15088.3822871719	33441.2096411226	15029.8150139966	16399.0221860734	15955.9547128013	19010.7567120344
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	8501.4957336805	13863.3040878932	21901.4733848517	13697.589259957	8799.9052334769	22652.346013373	17578.8953635238	23452.5780628267	11370.064890031501	26301.148547101	22702.9788665643	21281.3894404818	10247.7411081311	3444.9063726001	29746.5315595174	11358.4605497741	19615.0539937325	4857.0598507611	8643.1440941164	23802.3564985468	12979.7879530117	30324.9398053635	9499.0941808288	26007.6786549834	10996.8336232786	12201.2661561068	47195.5777523825	14477.8661369133	16985.860624922	15846.6764322932	14355.4763042883
PWY-6700: queuosine biosynthesis I (de novo)	8386.4869242491	10817.5241277787	17503.5763414099	12372.3625635622	8091.8476059437	14725.8054816925	15139.6346068583	18668.3838514445	9225.2861519318	19402.5587605312	18864.0849486743	11551.4009736523	10572.3050707631	2243.063108297	16217.9933834619	8589.0475190374	14503.8201395917	4885.3353199502	8973.1791293686	20461.6425380824	6021.747252798	18650.5696640771	9074.1758298835	18622.6394805974	9780.7063245595	12435.266721451	25064.487098811	13526.4615970427	15500.5649242271	13538.6142021522	16741.1703231061
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	8364.4470558679	13600.53734647	21550.7466149879	13390.7393657186	8681.2739907877	22263.6542947764	17510.3845773508	23032.7982531288	11181.7777309171	25806.0826467952	20972.008349713	19655.3003567423	10303.6887695478	3316.7209110916	27996.2432336915	10443.0955883164	19366.2972707348	4878.6848324619	8708.8383063471	23489.0384894463	11223.4980422654	27718.9548445728	9719.3779728006	24357.9832826472	10940.1088879511	12222.1417021267	43667.714165177	14421.3884448286	16852.9336653087	15953.8553586824	14365.7472941623
PWY-5667: CDP-diacylglycerol biosynthesis I	8305.0722693201	10614.6920184253	16882.1239807797	11887.7225272997	8014.5702091987	13953.0147212905	14586.0860896736	17547.9936226429	8650.1414293189	19474.1730040482	18787.6694715911	16656.9470319533	10663.2131815699	2912.4747250403	27721.4881434315	8983.6719560685	18754.2588579002	4669.5360648644	8366.7106430416	15750.0730728268	11165.9203893581	20044.7856206357	8470.0805765875	20818.3007881854	9881.2699772244	13078.1481585336	32114.7458911416	11990.5856116085	12148.9766185876	12641.4810133473	14806.5434842427
PWY0-1319: CDP-diacylglycerol biosynthesis II	8305.0722693201	10614.6920184253	16882.1239807797	11887.7225272997	8014.5702091987	13953.0147212905	14586.0860896736	17547.9936226429	8650.1414293189	19474.1730040482	18787.6694715911	16663.4168584661	10663.2131815699	2912.4747250403	27721.4881434315	8983.6719560685	18756.5084670625	4669.5360648644	8366.7106430416	15750.0730728268	11165.9203893581	20044.7856206357	8470.0805765875	20818.3007881854	9881.2699772244	13078.1481585336	32114.7458911416	11993.6565164626	12148.9766185876	12641.4810133473	14818.3852627418
PWY-5097: L-lysine biosynthesis VI	8298.2672470041	11166.9342214322	19080.4020915419	10969.4182136635	8119.5593516107	18931.7269908637	16295.7874032899	18973.669350987	9881.3445170501	22115.310317921	27471.8081110998	22666.5898929716	9360.2798314853	3805.4528278051	23950.8537285544	11837.4628607321	16755.1726639104	4677.1739138418	8555.791105976	18288.2104892198	7520.9127877769	25812.1061287875	10099.0293046897	19665.8438567392	9527.3718370962	11645.9431296207	34523.4632767471	12432.4336035007	13753.7467861456	14061.2864217518	15224.3908698721
PWY-6151: S-adenosyl-L-methionine salvage I	8296.5219915173	12827.2561932957	19886.9542830763	12371.2590687834	8403.9403125168	20399.8961472964	17189.1072439403	20647.057658284	11031.8743978454	24603.1384942466	24925.1632550654	18819.6863906729	10128.1451233955	2515.3334271061	19768.0737109536	9942.1557540022	15671.9821951459	4661.1427332426	8576.5735787807	18653.1030718223	6125.2497526795	20824.90004578	10112.8498997391	14577.1817559031	9986.2867213388	10461.1206947632	23602.3944483913	14750.7241205581	12660.5319157572	14511.9101450566	14770.5336227262
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	8276.8591813178	12874.0976433166	20451.2966602785	13400.9815707433	8680.1761402389	20690.7054792773	17480.5269870225	21844.3266342052	10879.2121989661	25139.4378653765	21992.6052285584	20660.2813091837	10336.36686995	3369.8674933659	24227.4402528722	12716.000263524	18741.7229409041	4692.9557270117	9276.2542780949	21072.6677617447	8933.2321852165	27491.6390172502	10049.3391898779	23174.1542503309	11356.3861547058	13117.9627682566	32213.1530219549	14954.6101739442	14950.1462334639	14567.5165036249	16538.0698710754
PWY-7111: pyruvate fermentation to isobutanol (engineered)	8229.7130794497	10657.4157076674	19006.5759280722	10786.1652487779	7840.4120746656	19727.3122254128	15505.0032510383	17739.0656259632	9718.5741099533	23213.971025191	29472.2368586899	27031.433183886	5040.42754131	3663.1419642033	34855.180848266	11438.05751891	18787.6195309893	3669.91142695	4040.7210111211	10609.4568622118	16192.951856825	34829.9545541307	8635.3027799881	29516.4802575105	7890.1901391183	7836.1916714047	52756.6427076137	13353.5977697032	13672.1152489987	10838.1036322751	9614.9488433985
CALVIN-PWY: Calvin-Benson-Bassham cycle	8167.3877503793	12378.5911169126	20361.3298235508	11940.0671265686	8684.9190512024	18949.2583332046	17710.4397530508	19553.9394216117	10814.1393818435	23425.4521728757	34126.9620831431	27045.0329449593	8366.4904068294	4494.2401244819	38622.6471392375	15370.4604638981	17464.5547437317	4351.8073347274	8364.78910796	17486.2850292984	10617.2395477412	39867.4604423784	8750.2616291829	30108.7261580635	10674.3323979932	12304.7542045204	48328.5547066745	14563.13646129	14022.6915115562	12925.9897447247	13640.45288898
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	8118.8299089673	11141.500437063	16869.0194551915	11068.3533182771	7858.2687937431	16833.2594525919	14051.2623777286	17915.485692341	9493.159677783	20922.2920874964	15248.3300416145	16044.2121030883	10228.4118618304	1390.2592284831	13256.9544246271	10055.1989454101	16761.358352855	4353.8732552959	8104.4190564752	15096.8460260117	4424.2772513037	13424.4611074106	7639.3361746567	17644.7445367351	9063.6186320968	10594.5173127887	21351.9228893968	12198.2387418357	12104.8499175737	13067.406363407	13590.6056408765
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	8117.7683319357	11710.9453299659	19112.1924233637	13147.8791930704	8881.6732992259	17508.3141938078	16278.9985426653	20625.5585632346	9774.5058925558	22533.4503098842	22394.5446763663	18144.5828807226	10596.9315119207	2799.2186101262	19456.9629811346	11793.2132515437	18520.8028887634	5450.3727805934	9890.6161865883	20285.4744007523	7488.42015372	19681.7407799028	10129.4581597935	21040.9348694011	11192.7760215578	14890.3925388319	29513.3891039117	14848.122448453	16173.0092108848	15601.2089459807	19196.3963075335
PWY-3841: folate transformations II (plants)	8090.786505794	11021.4541249613	16795.2427629255	11673.7978137029	8066.2680099321	17585.7903627166	14793.5900948731	19781.5230624811	8995.3011159469	20206.8856473814	20009.7815835281	17906.6660768364	10084.7182665806	2145.350764614	19017.854034007	11308.6023756586	17309.2911988669	4834.3647171464	9165.0660208578	17906.4387180862	5956.9739658968	18322.3144325644	9993.543583882	19212.8280658845	10220.1192979073	13656.6751687772	27430.9030859812	13187.4536501674	13588.4511168969	14273.9541926019	16276.6199453456
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	8082.3129904094	11086.2736014833	16869.0194551915	11063.1735419193	7857.9427162974	16833.2594525919	14026.0487262963	17700.4413424454	9486.0912516489	20570.3035678149	15248.3300416145	16044.2121030883	9981.5859332405	1390.2592284831	13256.9544246271	10055.1989454101	16761.358352855	4353.8732552959	8104.4190564752	15096.8460260117	4424.2772513037	13424.4611074106	7639.3361746567	17644.7445367351	9063.6186320968	10576.9707257348	21351.9228893968	12198.2387418357	12104.8499175737	12804.435306074	12980.9402034604
HISTSYN-PWY: L-histidine biosynthesis	7948.8882434796	10979.0260083057	16371.8008559882	11010.196900645	7473.7870518697	16495.2791280355	13741.3693022918	17397.6816096019	9186.177962161	20272.3817488143	15291.862053719	12741.0478478784	9430.076088869	1934.1986979047	14152.7363910755	11114.9681803984	14415.5098354429	4302.18350686	7791.9668351462	16956.9589278591	5412.0195017637	17163.7702060485	9434.5014476004	17136.2289721319	8612.1853763925	10174.5189774085	24007.2124081096	13617.7064425808	13059.2152774898	12420.0190430536	12145.9436295373
PWY-6123: inosine-5'-phosphate biosynthesis I	7789.2418669531	8341.2708864996	14947.3391610694	9105.5581152299	6865.4946252429	14485.0013604773	12195.3458087843	15152.441941971	7970.4961876756	19517.7751721437	15481.4628547498	13653.3210272792	8388.4401338302	1743.7945648486	15311.9365252079	12059.587034913	15978.9089052856	4371.9874006687	7027.2907647635	12301.3020862972	5967.0692314253	18154.8869471952	7954.2761443311	18853.39755402	7627.7261266158	9068.9620763821	23406.3780558789	13896.2148290562	12100.9100688811	10812.4487273446	12752.6630030008
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	7769.0992746032	10274.0843664233	17852.5491295868	11213.522855562	7623.9498434821	15713.7628777994	16227.5432425575	16600.90177054	9324.6162305167	20875.7428859047	30759.3271458169	20501.0184994447	11752.9844395091	3781.6518607441	27446.8884259363	13229.9557398994	19903.7703626425	3884.1087067302	8321.1021207894	13832.1604503867	10106.9552105164	30229.5607844049	10796.5292078369	27965.1872383322	10036.6837543022	14987.3050419706	42109.4639424899	14839.1327125642	12488.4614288278	11384.6142910289	13370.7732758394
PWY-6317: D-galactose degradation I (Leloir pathway)	7660.8390039773	10007.8565945559	16843.0318273427	10590.5326482561	8269.2416401758	15456.7826244142	14553.9873479212	16424.2281920432	9143.3232015629	19799.1887240812	17846.4297635216	15848.761391186	7194.9749303377	2108.7719095108	15296.0554819228	8077.5490076152	16347.2809265515	3508.5160285621	6009.9657548335	12821.5381384031	7300.8424558846	16847.2082245385	6510.6704974388	16928.3712373165	7167.076896174	9267.4146727945	18741.8926399351	11519.1364747521	9014.5740456197	9861.6914542647	9118.9344830304
PWY-5695: inosine 5'-phosphate degradation	7572.8399427902	6088.4443964835	11572.0645924337	6456.246663168	7481.2734979813	10948.3057724527	10665.3021633696	13980.4284878092	6394.3707383397	14104.2991798698	25658.6481362121	18022.7090169207	9557.3639601713	2285.6725165865	22468.5637690913	11274.2522586883	17883.427391689	3967.653968874	8040.2645827383	15128.5367330477	10622.1347349317	20546.1204145167	10302.3699653047	24743.8423724369	8738.1948588624	11974.9130836772	28635.9556959543	12880.6149820639	12283.7524309163	11074.8104534665	12248.306479745
PWY-7977: L-methionine biosynthesis IV	7530.6102213518	7751.1848475633	16055.0435079948	8293.683790652	7102.638522545	17016.0188783643	12522.9666706196	15419.9940877776	8387.8910755087	21618.2121172637	35537.6023699162	14534.5373879346	7937.5386673333	4468.8697592305	29390.7373734673	7418.2119838817	16260.4550366857	3930.3999047248	7888.5321708434	18323.0848802315	10714.1906834498	37030.9358883608	9902.9078952963	23133.1161673696	6680.8217314833	8822.5770465278	39669.2493629368	13836.6448943591	15422.2886299669	12437.3317254178	13232.5858411803
PWY-6124: inosine-5'-phosphate biosynthesis II	7498.6035773367	7767.0034117989	14010.7731497924	8536.6372721605	6496.4345983522	13553.4806869952	11383.1289747467	14385.9885746784	7478.0580364065	18544.177963688	14858.1871334368	12929.672807693	7908.1613339047	1267.3872562904	12361.6502192229	12231.8471343157	15289.0900596917	4178.452817676	6602.4043198083	11304.8182498546	4915.3862881908	13921.9739310301	7723.5463954991	18913.4527364357	7160.3216627367	8547.2493416397	18444.3730436709	13286.6580187287	11404.0330011769	10069.9181974505	12112.3829031399
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	7310.3330055566	10787.0218826497	18747.7758165073	10667.6674079018	8604.5938247242	17387.6072095269	15860.1134130139	17407.032550944	9611.1627483751	22253.8612746601	37412.5337029718	31132.6112141251	6731.8912971555	4764.0451812532	39412.0051965309	15629.1635939304	16975.4112383234	3511.6261431625	7305.5153471701	15169.0875638718	14071.1217235028	48813.5594843399	7544.8804578216	37905.0787853785	9679.9984348141	11306.1674492503	67609.0849913141	12431.1465250595	11814.4168876343	11845.1608728455	11373.3000636416
