pathway	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3_911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	281.7912284243	920.6992545312	3056.9669534546	1883.4780993181	400.4343931914	2682.4215701021	2154.8535331773	3613.094275309	1484.9403292401	3565.1008562406	117.248288833	442.156072575	383.5240291105	0	0	692.2711087393	1620.9988408594	500.2136655944	764.3156058948	1469.0199615163	201.4081389125	36.5052115191	62.7101469371	211.0135692203	803.4138019385	932.8758616164	0	1294.5005428825	977.0682802968	1175.6663898109	1570.015950453
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	276.5206034033	0	347.9586776651	0	0	752.8979848031	744.8303503624	0	324.2102805294	403.7927448298	14547.7449439637	5441.2483222496	0	0	16818.6350082667	10533.3474121972	2373.4293495354	0	588.4774380615	0	7837.7419171553	13869.6204680182	541.4331098755	16351.1700272246	0	0	17943.0458259567	2461.3877581132	0	0	0
GLUDEG-I-PWY: GABA shunt	275.639862683	154.7179802989	0	527.8808672475	337.9034706796	0	26.016645621	785.4870390501	0	146.0896037514	2603.4872445239	700.8193108751	30.9948486067	756.0633234967	4448.0598346882	157.9205640316	1303.0081693266	98.5179221146	705.1141557971	281.7483476658	1672.9939259628	3611.7592099906	339.0581140523	2138.6547033187	418.9335628876	436.929431606	4435.2948806377	1065.8061234576	838.7284041697	204.8124951455	441.9211080571
PWY-7013: (S)-propane-1,2-diol degradation	263.0630775761	802.8374993765	2681.4300003548	681.7209553728	346.5794892507	2977.7219619467	2199.5184017699	1344.4550441022	1154.8735567607	2559.6329742025	42785.6906755569	6107.2672894819	254.1278728684	7354.7764248266	47617.6408249281	12731.5154996941	769.4398742583	250.6046658751	544.2884467796	528.0559979277	8980.8579348459	48315.4613639891	502.0693598695	29066.4604936372	379.3501380082	524.3811092262	56821.1833865679	1240.7872644065	1734.0495735523	688.8932328376	1001.8417867818
PWY-5022: 4-aminobutanoate degradation V	257.7589984969	174.3235258211	25.6076576244	672.2709796139	306.9901533438	0	96.29039609	701.3636515455	0	0	0	1400.309983227	30.9898923375	0	0	0	1252.6113736094	141.8966977114	669.6147174966	269.1992851197	464.3408415976	0	339.1310107917	0	412.1417047437	427.0986559218	0	1056.0336855192	772.6510584578	197.1212729275	428.1606652008
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	254.3620111694	54.4246321571	142.0919353505	146.7458141549	156.1280895416	102.9319777031	117.0607312882	616.382637492	0	0	11401.8301785199	3222.5732387054	324.721402316	1656.8175525055	10304.292312467	5476.3150238148	772.7934614651	291.2816653281	395.3755834292	443.4476242576	4139.8287370678	11867.4923122906	728.5424165461	15630.1798931684	570.6614769666	597.0394781091	18982.2033394774	529.6937955088	1167.4274605535	835.6391552674	1769.6702509885
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	247.3046016323	749.2709681408	577.5915021734	573.9106584212	288.0650923569	1081.4134683178	950.814792069	1219.2277171379	426.4450266411	1162.8976527778	10498.5499466632	3824.4255868411	270.9075420297	0	11882.7477205745	8013.4733403876	1530.9505767223	351.5282416493	695.7789947834	826.4144941035	6405.2483506534	9080.1990176583	279.4096366979	11301.8204537865	915.4634911022	1255.8242929418	11530.354937951999	2069.6993134636	2381.2950109038	427.3083523434	739.1356447308
SO4ASSIM-PWY: assimilatory sulfate reduction I	245.9710215893	127.9128210435	1051.3780464382	172.9842164855	290.6060915943	338.947071795	736.3635751569	211.3297227933	529.0501674658	1088.7518824073	28334.7271695102	3126.6514801586	0	3815.9741958716	36893.4703379147	6391.3362614814	775.4647122964	72.1450956296	166.1694573737	88.3857730516	8560.0614652636	20998.0122101202	657.934820654	17927.360444386	37.7892393155	61.2719748339	29521.816448011	1233.9464415915	68.6547680185	613.9902993435	131.2704451081
PWY-6859: all-trans-farnesol biosynthesis	231.9432492438	92.4217342137	5.8940035881	289.6476789492	134.128113325	40.7079808572	195.9563327627	451.0235765681	32.6374574731	149.6352475729	1774.3188117144	2919.0498425932	1437.4402354567	859.3803077027	6773.5107978789	6211.3816313115	2425.8042903189	361.373469296	603.1934470866	637.2561915606	2328.1833035104	5589.1415870964	2009.0996196888	9273.8884937552	809.5098155901	1155.3886413336	12873.4589412667	2246.2540565302	2009.981191701	793.5175080412	708.929726441
PWY-5130: 2-oxobutanoate degradation I	225.8675235651	109.63814047300001	69.3793997006	260.326857116	160.7524648178	35.9480044116	17.6693388292	764.0994726596	24.2696018753	0	208.7914878442	578.7479238992	395.2018349765	36.804707269	15.4711042655	2835.7992187488	1075.9925501441	342.2173258638	371.4352380781	639.3682010374	319.9110486915	1511.570022931	605.0312189084	4854.1489166252	712.2994844539	1086.2372895884	6667.5160882931	877.2279926679	1342.816395753	133.0365633424	342.7097063601
