sample	bodysite	Malic Acid	Glucose	Lactic acid	Itaconic Acid	Succinic Acid	Fumaric Acid	Citric Acid	Isocitric Acid	Aconitic Acid	Ketoglutaric Acid	Picolinic acid	Quinolinic acid	3-OH-Kynurenine	Serotonine	5-OH-Tryptophane	Kynurenine	3-OH-Anthranilic acid	Tryptamine	Tryptophane	5-OH-Indole acetic acid	Indole-3-Sulfate	N-acetyl-serotonine	Xanthurenic acid	Indole-3-acetamide	Kynurenic acid	Indole-3-Lactic acid	Indole-3-Aldehyde	Indole-3-Acetic acid	Tryptophol	Melatonine	Indole-3-propionic acid	Indole	Acetic Acid	Propionic Acid	Butyric Acid	IsoButyric Acid	Valeric Acid	IsoValeric Acid	THCA	GHCA	TCA	GUDCA	CA-S	GCA	TUDCA	TCDCA	HCA	UDCA	TDCA	GCDCA	CA	GDCA	TLCA	LCA-S	CDCA	GLCA	DCA	LCA
Cosmic_29	plasma	7.98	58.15	3637.03	< LLOQ	5.58	2.42	135.81	8.98	15.37	12.08	< LLOQ	1046.862	63.087	< LLOQ	13.244	2945.587	118.916	< LLOQ	72178.654	28.346	1689.032	< LLOQ	15.722	< LLOQ	29.443	1336.625	14.526	1369.215	< LLOQ	< LLOQ	122.685	NA	146534	19596	20121	946	1026	671	< LLOQ	3.151	22.111	5.103	< LLOQ	151.052	< LLOQ	55.747	< LLOQ	< LLOQ	< LLOQ	469.685	33.157	< LLOQ	< LLOQ	< LLOQ	108.658	< LLOQ	< LLOQ	< LLOQ
Cosmic_36	plasma	8.67	66.7	4443.31	< LLOQ	5.56	2.48	148.72	10.22	13.63	10.06	< LLOQ	890.4	43.675	< LLOQ	18.976	3054.05	119.207	< LLOQ	89984.975	27.399	8736.054	< LLOQ	18.202	< LLOQ	24.869	1693.786	19.882	1148.572	< LLOQ	< LLOQ	1509.738	NA	80222	66721	68034	2528	3361	1133	< LLOQ	11.885	343.998	482.693	< LLOQ	1624.202	38.748	665.428	< LLOQ	10.417	306.303	> ULOQ	67.849	1586.705	< LLOQ	9.248	100.869	47.348	258.875	< LLOQ
Cosmic_32	plasma	2.18	45.45	1653.87	< LLOQ	3.67	0.69	86.41	3.66	5.14	6.14	< LLOQ	523.937	261.556	< LLOQ	8.348	2115.307	85.663	< LLOQ	40557.417	< LLOQ	< LLOQ	< LLOQ	4.742	< LLOQ	6.905	748.021	< LLOQ	230.503	< LLOQ	< LLOQ	< LLOQ	NA	114161	17726	13290	930	944	520	< LLOQ	< LLOQ	< LLOQ	< LLOQ	< LLOQ	22.173	< LLOQ	18.698	< LLOQ	< LLOQ	< LLOQ	242.921	6.877	< LLOQ	< LLOQ	< LLOQ	11.936	< LLOQ	25.166	< LLOQ
Cosmic_39	plasma	1.76	290.72	3106.07	< LLOQ	2.56	0.63	71.2	0.44	0.5	4.4	< LLOQ	781.842	32.738	806.561	8.825	1661.693	108.875	< LLOQ	60119.515	10.547	7160.975	< LLOQ	6.285	< LLOQ	11.445	1019.347	< LLOQ	733.193	< LLOQ	< LLOQ	522.767	NA	93369	23700	29571	1756	1288	1220	< LLOQ	16.774	30.971	59.393	< LLOQ	245.742	< LLOQ	74.675	< LLOQ	3.742	39.974	507.274	103.712	190.874	< LLOQ	< LLOQ	101.111	10.615	113.713	< LLOQ
Cosmic_34	plasma	3.74	56.12	2407.71	< LLOQ	5.09	0.89	133.89	6.26	9.61	4.89	< LLOQ	653.775	47.357	< LLOQ	8.046	1593.188	29.389	< LLOQ	36033.157	25.412	2644.446	< LLOQ	< LLOQ	< LLOQ	7.549	769.591	< LLOQ	502.175	< LLOQ	< LLOQ	< LLOQ	NA	68435	14807	15172	934	715	494	< LLOQ	3.629	< LLOQ	< LLOQ	< LLOQ	65.408	< LLOQ	10.492	< LLOQ	< LLOQ	< LLOQ	235.284	13.361	< LLOQ	< LLOQ	< LLOQ	16.462	< LLOQ	28.012	< LLOQ
Cosmic_40	plasma	3.71	37.27	2732.3	< LLOQ	4.53	0.94	138.62	8.94	11.65	6.24	< LLOQ	447.707	60.48	< LLOQ	8.459	1574.508	61.597	< LLOQ	69138.149	29.935	4422.829	< LLOQ	12.942	< LLOQ	21.874	1129.714	< LLOQ	1077.038	< LLOQ	< LLOQ	903.257	NA	65014	15831	15560	929	810	1012	< LLOQ	3.373	16.361	71.138	< LLOQ	100.877	< LLOQ	100.253	< LLOQ	6.376	163.494	718.402	28.301	994.833	< LLOQ	8.472	46.292	22.864	347.506	< LLOQ
Cosmic_35	plasma	5.8	40.72	2951.23	< LLOQ	4.3	1.55	149.78	4.82	12.07	5.74	8.655	265.855	< LLOQ	< LLOQ	6.619	820.675	53.16	< LLOQ	43386.921	11.059	234.648	< LLOQ	18.154	< LLOQ	17.503	537.696	< LLOQ	445.418	< LLOQ	< LLOQ	47.841	NA	564374	20793	11118	1751	919	1978	< LLOQ	5.471	< LLOQ	< LLOQ	< LLOQ	14.574	7.473	62.527	< LLOQ	< LLOQ	< LLOQ	75.718	< LLOQ	< LLOQ	< LLOQ	< LLOQ	7.822	< LLOQ	13.814	< LLOQ
Cosmic_41	plasma	3.04	53.49	2145.79	< LLOQ	3.27	0.7	116.7	3.09	7.18	3.67	< LLOQ	234.031	37.681	< LLOQ	4.732	854.72	67.375	< LLOQ	51289.817	17.305	1671.897	< LLOQ	15.312	< LLOQ	13.614	493.545	< LLOQ	1016.507	< LLOQ	< LLOQ	2237.082	NA	189992	21214	17553	1239	835	745	< LLOQ	7.152	< LLOQ	17.871	< LLOQ	16.719	< LLOQ	34.053	< LLOQ	3.124	25.948	114.834	12.978	54.98	< LLOQ	< LLOQ	16.182	8.99	40.438	< LLOQ
Cosmic_46	plasma	3.04	44.94	2423.11	< LLOQ	3.53	0.75	134.3	4.17	9.87	6.14	< LLOQ	223.184	28.504	< LLOQ	4.617	1099.832	41.398	< LLOQ	39937.35	12.769	991.939	< LLOQ	3.298	< LLOQ	8.959	624.458	< LLOQ	430.807	< LLOQ	< LLOQ	23.645	NA	148843	5605	8322	571	599	746	< LLOQ	3.738	22.246	4.694	< LLOQ	181.817	< LLOQ	211.894	< LLOQ	< LLOQ	< LLOQ	1762.697	27.424	< LLOQ	< LLOQ	< LLOQ	46.786	< LLOQ	5.803	< LLOQ
Cosmic_52	plasma	2.34	57.49	2153.12	< LLOQ	3.78	0.73	133.58	4.97	8.33	4.73	< LLOQ	321.048	26.097	< LLOQ	4.589	1302.333	52.346	< LLOQ	42131.212	20.773	4403.896	< LLOQ	5.615	< LLOQ	13.935	844.322	< LLOQ	3352.629	< LLOQ	< LLOQ	2368.597	NA	82355	18096	18874	1062	578	499	< LLOQ	9.235	99.503	326.331	< LLOQ	702.559	9.882	318.89	< LLOQ	10.816	< LLOQ	> ULOQ	58.059	1156.692	< LLOQ	< LLOQ	87.378	52.062	240.883	< LLOQ
Cosmic_45	plasma	5.92	129.81	2647.95	< LLOQ	5.04	1.61	136.2	8.11	11.18	6.62	< LLOQ	1451.232	104.539	< LLOQ	5.485	2256.059	69.735	< LLOQ	28178.451	30.014	4089.025	< LLOQ	3.112	< LLOQ	12.552	990.439	< LLOQ	257.815	< LLOQ	< LLOQ	27.856	NA	102256	17000	9935	1066	677	510	< LLOQ	7.446	33.545	< LLOQ	< LLOQ	248.549	< LLOQ	107.499	< LLOQ	< LLOQ	< LLOQ	1015.662	117.909	< LLOQ	< LLOQ	< LLOQ	53.413	< LLOQ	5.813	< LLOQ
Cosmic_57	plasma	4.07	100.26	2332.85	< LLOQ	4.01	1.28	112.72	9.57	10.86	7.31	16.807	1399.297	50.358	< LLOQ	8.715	4479.995	162.486	< LLOQ	60106.725	24.064	14635.203	< LLOQ	12.384	< LLOQ	37.329	1414.613	14.651	5574.026	< LLOQ	< LLOQ	788.937	NA	63447	48715	23520	1717	1358	904	< LLOQ	7.226	16.688	78.555	< LLOQ	171.403	< LLOQ	52.508	< LLOQ	3.503	12.785	877.37	19.143	109.222	< LLOQ	< LLOQ	197.124	< LLOQ	33.577	< LLOQ
Cosmic_9	plasma	2.93	55.78	1920.29	< LLOQ	3.94	0.63	117.56	6.41	11.42	7.53	< LLOQ	140.071	12.732	< LLOQ	6.772	1197.847	49.91	< LLOQ	44658.328	14.825	1137.497	< LLOQ	4.537	< LLOQ	8.977	472.957	< LLOQ	640.859	< LLOQ	< LLOQ	< LLOQ	NA	93692	13426	12221	1194	808	579	< LLOQ	3.23	< LLOQ	< LLOQ	< LLOQ	5.422	< LLOQ	44.494	< LLOQ	< LLOQ	< LLOQ	77.183	4.752	< LLOQ	< LLOQ	< LLOQ	15.605	< LLOQ	< LLOQ	< LLOQ
Cosmic_53	plasma	5.23	58.1	4290.37	< LLOQ	4.85	1.49	140.35	6.63	9.37	8.46	< LLOQ	75.878	19.969	< LLOQ	5.166	502.612	45.132	< LLOQ	29150.879	14.009	2177.576	< LLOQ	9.164	< LLOQ	14.278	412.46	< LLOQ	885.136	< LLOQ	< LLOQ	932.919	NA	349494	21494	27281	1445	771	756	< LLOQ	4.908	< LLOQ	92.009	< LLOQ	24.363	< LLOQ	173.027	3.777	18.027	28.591	308.58	5.173	50.863	< LLOQ	< LLOQ	33.568	14.508	123.864	< LLOQ
Cosmic_48	plasma	2.5	41.66	2433.97	< LLOQ	3.67	0.63	96.57	3.32	5.51	7.13	< LLOQ	186.863	13.182	< LLOQ	5.245	1190.939	33.149	< LLOQ	66898.584	12.159	465.57	< LLOQ	< LLOQ	< LLOQ	5.708	441.648	< LLOQ	800.371	< LLOQ	< LLOQ	489.861	NA	47624	11812	12405	889	563	1155	< LLOQ	12.768	17.761	112.251	< LLOQ	79.152	< LLOQ	31.68	3.997	2.659	53.459	224.514	22.925	< LLOQ	< LLOQ	< LLOQ	88.225	< LLOQ	< LLOQ	< LLOQ
Cosmic_58	plasma	2.48	45.54	2900.94	< LLOQ	3.74	0.83	105.9	3.11	6.53	7.31	< LLOQ	243.732	25.977	< LLOQ	4.989	1259.024	48.249	< LLOQ	56194.01	14.482	1331.857	< LLOQ	4.624	< LLOQ	10.432	614.947	< LLOQ	809.461	< LLOQ	< LLOQ	7575.47	NA	97269	38184	38647	1784	1322	934	< LLOQ	10.348	15.495	107.325	< LLOQ	148.53	< LLOQ	33.365	8.512	9.693	25.142	418.619	277.201	203.454	< LLOQ	42.237	249.128	5.965	150.317	< LLOQ
