measure	type
THISYN.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.I	pathway_relab
PYRIDNUCSYN.PWY..NAD.de.novo.biosynthesis.I..from.aspartate.	pathway_relab
PWY.I9..L.cysteine.biosynthesis.VI..from.L.methionine.	pathway_relab
PWY.7400..L.arginine.biosynthesis.IV..archaebacteria.	pathway_relab
GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation	pathway_relab
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.	pathway_relab
PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.	pathway_relab
PWY.6936..seleno.amino.acid.biosynthesis..plants.	pathway_relab
GLUCONEO.PWY..gluconeogenesis.I	pathway_relab
COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis	pathway_relab
GALACTUROCAT.PWY..D.galacturonate.degradation.I	pathway_relab
PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation	pathway_relab
PWY.7456...beta...1.4..mannan.degradation	pathway_relab
PWY.5973..cis.vaccenate.biosynthesis	pathway_relab
PWY.6292..superpathway.of.L.cysteine.biosynthesis..mammalian.	pathway_relab
PWY.6703..preQ0.biosynthesis	pathway_relab
PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	pathway_relab
PWY.7242..D.fructuronate.degradation	pathway_relab
PWY.6353..purine.nucleotides.degradation.II..aerobic.	pathway_relab
GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation	pathway_relab
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	pathway_relab
FERMENTATION.PWY..mixed.acid.fermentation	pathway_relab
ANAEROFRUCAT.PWY..homolactic.fermentation	pathway_relab
PWY.7328..superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis	pathway_relab
PWY.6608..guanosine.nucleotides.degradation.III	pathway_relab
PWY.7663..gondoate.biosynthesis..anaerobic.	pathway_relab
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	pathway_relab
PWY.1861..formaldehyde.assimilation.II..assimilatory.RuMP.Cycle.	pathway_relab
PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.	pathway_relab
PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	pathway_relab
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	pathway_relab
PWY.702..L.methionine.biosynthesis.II	pathway_relab
METH.ACETATE.PWY..methanogenesis.from.acetate	pathway_relab
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.	pathway_relab
PWY.7234..inosine.5..phosphate.biosynthesis.III	pathway_relab
PWY.5484..glycolysis.II..from.fructose.6.phosphate.	pathway_relab
SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II	pathway_relab
PWY.6895..superpathway.of.thiamine.diphosphate.biosynthesis.II	pathway_relab
PWY.622..starch.biosynthesis	pathway_relab
PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis	pathway_relab
PWY.621..sucrose.degradation.III..sucrose.invertase.	pathway_relab
PWY.6901..superpathway.of.glucose.and.xylose.degradation	pathway_relab
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I	pathway_relab
PWY.6731..starch.degradation.III	pathway_relab
PWY.6630..superpathway.of.L.tyrosine.biosynthesis	pathway_relab
PWY.7345..superpathway.of.anaerobic.sucrose.degradation	pathway_relab
PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	pathway_relab
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	pathway_relab
PENTOSE.P.PWY..pentose.phosphate.pathway	pathway_relab
GLYCOCAT.PWY..glycogen.degradation.I	pathway_relab
PWY.6549..L.glutamine.biosynthesis.III	pathway_relab
PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I	pathway_relab
PWY.7282..4.amino.2.methyl.5.diphosphomethylpyrimidine.biosynthesis.II	pathway_relab
PWY.6606..guanosine.nucleotides.degradation.II	pathway_relab
PWY.4041...gamma..glutamyl.cycle	pathway_relab
RHAMCAT.PWY..L.rhamnose.degradation.I	pathway_relab
PWY.7761..NAD.salvage.pathway.II..PNC.IV.cycle.	pathway_relab
PWY.6470..peptidoglycan.biosynthesis.V...beta..lactam.resistance.	pathway_relab
PWY.6969..TCA.cycle.V..2.oxoglutarate.synthase.	pathway_relab
P164.PWY..purine.nucleobases.degradation.I..anaerobic.	pathway_relab
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate	pathway_relab
GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway	pathway_relab
PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	pathway_relab
PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	pathway_relab
HISDEG.PWY..L.histidine.degradation.I	pathway_relab
PWY66.399..gluconeogenesis.III	pathway_relab
PWY.7356..thiamine.diphosphate.salvage.IV..yeast.	pathway_relab
PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II	pathway_relab
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	pathway_relab
PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type	pathway_relab
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis	pathway_relab
P441.PWY..superpathway.of.N.acetylneuraminate.degradation	pathway_relab
PWY.2941..L.lysine.biosynthesis.II	pathway_relab
PWY.5505..L.glutamate.and.L.glutamine.biosynthesis	pathway_relab
PWY66.409..superpathway.of.purine.nucleotide.salvage	pathway_relab
PWY.8004..Entner.Doudoroff.pathway.I	pathway_relab
PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I	pathway_relab
PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol.	pathway_relab
PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic.	pathway_relab
PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic.	pathway_relab
PWY.7323..superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis	pathway_relab
PWY0.1479..tRNA.processing	pathway_relab
P124.PWY..Bifidobacterium.shunt	pathway_relab
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	pathway_relab
FASYN.ELONG.PWY..fatty.acid.elongation....saturated	pathway_relab
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	pathway_relab
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I	pathway_relab
ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis	pathway_relab
POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli.	pathway_relab
PWY.7664..oleate.biosynthesis.IV..anaerobic.	pathway_relab
HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.	pathway_relab
PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	pathway_relab
PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II	pathway_relab
PWY.7198..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.IV	pathway_relab
PWY.5265..peptidoglycan.biosynthesis.II..staphylococci.	pathway_relab
PWY0.1061..superpathway.of.L.alanine.biosynthesis	pathway_relab
PWY.6519..8.amino.7.oxononanoate.biosynthesis.I	pathway_relab
GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation	pathway_relab
PWY0.862...5Z..dodecenoate.biosynthesis.I	pathway_relab
FUCCAT.PWY..fucose.degradation	pathway_relab
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.	pathway_relab
PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation	pathway_relab
PWY.6902..chitin.degradation.II..Vibrio.	pathway_relab
PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.	pathway_relab
PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage	pathway_relab
FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage	pathway_relab
PWY1ZNC.1..assimilatory.sulfate.reduction.IV	pathway_relab
PWY.5497..purine.nucleobases.degradation.II..anaerobic.	pathway_relab
PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type	pathway_relab
PWY.6607..guanosine.nucleotides.degradation.I	pathway_relab
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	pathway_relab
P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.	pathway_relab
PWY.8187..L.arginine.degradation.XIII..reductive.Stickland.reaction.	pathway_relab
PWY.5030..L.histidine.degradation.III	pathway_relab
PWY0.1261..anhydromuropeptides.recycling.I	pathway_relab
PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants.	pathway_relab
PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation	pathway_relab
PWY.7211..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis	pathway_relab
PWY.7392..taxadiene.biosynthesis..engineered.	pathway_relab
PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.	pathway_relab
PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I	pathway_relab
GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol	pathway_relab
POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I	pathway_relab
FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation	pathway_relab
PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis	pathway_relab
SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis	pathway_relab
P42.PWY..incomplete.reductive.TCA.cycle	pathway_relab
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.	pathway_relab
CITRULBIO.PWY..L.citrulline.biosynthesis	pathway_relab
PPGPPMET.PWY..ppGpp.metabolism	pathway_relab
LACTOSECAT.PWY..lactose.and.galactose.degradation.I	pathway_relab
GALACTITOLCAT.PWY..galactitol.degradation	pathway_relab
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.	pathway_relab
PWY.8073..lipid.IVA.biosynthesis..P..putida.	pathway_relab
FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.	pathway_relab
RUMP.PWY..formaldehyde.oxidation.I	pathway_relab
PWY.4984..urea.cycle	pathway_relab
PWY0.781..aspartate.superpathway	pathway_relab
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	pathway_relab
PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.	pathway_relab
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	pathway_relab
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	pathway_relab
PWY.6168..flavin.biosynthesis.III..fungi.	pathway_relab
PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation	pathway_relab
P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I	pathway_relab
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	pathway_relab
PWY0.1477..ethanolamine.utilization	pathway_relab
PWY.5005..biotin.biosynthesis.II	pathway_relab
PWY.6906..chitin.derivatives.degradation	pathway_relab
PWY.7185..UTP.and.CTP.dephosphorylation.I	pathway_relab
PWY.6305..superpathway.of.putrescine.biosynthesis	pathway_relab
PWY.8131..5..deoxyadenosine.degradation.II	pathway_relab
PWY.6590..superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation	pathway_relab
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.	pathway_relab
GLUDEG.I.PWY..GABA.shunt	pathway_relab
PWY.7013...S..propane.1.2.diol.degradation	pathway_relab
PWY.5022..4.aminobutanoate.degradation.V	pathway_relab
PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis	pathway_relab
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.	pathway_relab
SO4ASSIM.PWY..assimilatory.sulfate.reduction.I	pathway_relab
PWY.6859..all.trans.farnesol.biosynthesis	pathway_relab
PWY.5130..2.oxobutanoate.degradation.I	pathway_relab
TCA..TCA.cycle.I..prokaryotic.	pathway_relab
CENTFERM.PWY..pyruvate.fermentation.to.butanoate	pathway_relab
PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.	pathway_relab
GALACTARDEG.PWY..D.galactarate.degradation.I	pathway_relab
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	pathway_relab
PWY.5981..CDP.diacylglycerol.biosynthesis.III	pathway_relab
MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis	pathway_relab
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.	pathway_relab
POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II	pathway_relab
PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.	pathway_relab
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis	pathway_relab
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation	pathway_relab
GLYOXYLATE.BYPASS..glyoxylate.cycle	pathway_relab
PWY.5918..superpathway.of.heme.b.biosynthesis.from.glutamate	pathway_relab
PWY.6588..pyruvate.fermentation.to.acetone	pathway_relab
PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.	pathway_relab
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA	pathway_relab
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent.	pathway_relab
GLUCARDEG.PWY..D.glucarate.degradation.I	pathway_relab
PWY.6531..mannitol.cycle	pathway_relab
PWY.5675..nitrate.reduction.V..assimilatory.	pathway_relab
PWY.6293..superpathway.of.L.cysteine.biosynthesis..fungi.	pathway_relab
PWY.5690..TCA.cycle.II..plants.and.fungi.	pathway_relab
P161.PWY..acetylene.degradation..anaerobic.	pathway_relab
PWY.5994..palmitate.biosynthesis..type.I.fatty.acid.synthase.	pathway_relab
NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.	pathway_relab
PWY.7315..dTDP.N.acetylthomosamine.biosynthesis	pathway_relab
PWY.7118..chitin.deacetylation	pathway_relab
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I	pathway_relab
ORNDEG.PWY..superpathway.of.ornithine.degradation	pathway_relab
PWY.6992..1.5.anhydrofructose.degradation	pathway_relab
PWY.7385..1.3.propanediol.biosynthesis..engineered.	pathway_relab
PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine	pathway_relab
PWY.5367..petroselinate.biosynthesis	pathway_relab
P125.PWY..superpathway.of..R.R..butanediol.biosynthesis	pathway_relab
PWY.5723..Rubisco.shunt	pathway_relab
PWY.822..fructan.biosynthesis	pathway_relab
PWY66.391..fatty.acid..beta..oxidation.VI..mammalian.peroxisome.	pathway_relab
HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic.	pathway_relab
HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	pathway_relab
PWY.801..homocysteine.and.cysteine.interconversion	pathway_relab
P108.PWY..pyruvate.fermentation.to.propanoate.I	pathway_relab
REDCITCYC..TCA.cycle.VI..Helicobacter.	pathway_relab
P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.	pathway_relab
PWY.6572..chondroitin.sulfate.degradation.I..bacterial.	pathway_relab
PWY.6922..L.N.delta..acetylornithine.biosynthesis	pathway_relab
PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation	pathway_relab
PWY0.1415..superpathway.of.heme.b.biosynthesis.from.uroporphyrinogen.III	pathway_relab
PWY.7942..5.oxo.L.proline.metabolism	pathway_relab
PWY66.389..phytol.degradation	pathway_relab
PWY.7883..anhydromuropeptides.recycling.II	pathway_relab
P23.PWY..reductive.TCA.cycle.I	pathway_relab
PWY0.301..L.ascorbate.degradation.I..bacterial..anaerobic.	pathway_relab
PWY.7858...5Z..dodecenoate.biosynthesis.II	pathway_relab
PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.	pathway_relab
FAO.PWY..fatty.acid..beta..oxidation.I..generic.	pathway_relab
PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.	pathway_relab
PWY.922..mevalonate.pathway.I..eukaryotes.and.bacteria.	pathway_relab
HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.hydroxypentadienoate	pathway_relab
PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.hydroxypentadienoate	pathway_relab
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.	pathway_relab
METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation	pathway_relab
AST.PWY..L.arginine.degradation.II..AST.pathway.	pathway_relab
PWY.6803..phosphatidylcholine.acyl.editing	pathway_relab
PWY.6961..L.ascorbate.degradation.II..bacterial..aerobic.	pathway_relab
PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.	pathway_relab
P621.PWY..nylon.6.oligomer.degradation	pathway_relab
LIPASYN.PWY..phospholipases	pathway_relab
KETOGLUCONMET.PWY..ketogluconate.metabolism	pathway_relab
PWY0.1337..oleate..beta..oxidation	pathway_relab
