bodysite	metabolites	restored	type_restoration	FMT_effect	chem_name	SUPER_PATHWAY	SUB_PATHWAY
feces	100001383	depleted	normal	depleted normal	feces_untarg_1-myristoyl-GPC (14:0)	Lipid	Lysophospholipid
feces	100001391	NS	normal	NS	feces_untarg_stearoylcarnitine (C18)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)
feces	100001392	depleted	normal	depleted normal	feces_untarg_laurylcarnitine (C12)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)
feces	100001395	NS	over	NS	feces_untarg_1-linoleoyl-GPC (18:2)	Lipid	Lysophospholipid
feces	100001396	depleted	normal	depleted normal	feces_untarg_7-methylxanthine	Xenobiotics	Xanthine Metabolism
feces	100001397	NS	normal	NS	feces_untarg_1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism
feces	100001398	NS	normal	NS	feces_untarg_3,7-dimethylurate	Xenobiotics	Xanthine Metabolism
feces	100001399	NS	normal	NS	feces_untarg_1,7-dimethylurate	Xenobiotics	Xanthine Metabolism
feces	100001400	depleted	normal	depleted normal	feces_untarg_1-methylurate	Xenobiotics	Xanthine Metabolism
feces	100001403	NS	normal	NS	feces_untarg_5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism
feces	100001405	NS	normal	NS	feces_untarg_1-methylxanthine	Xenobiotics	Xanthine Metabolism
feces	100001411	NS	normal	NS	feces_untarg_beta-guanidinopropanoate	Xenobiotics	Food Component/Plant
feces	100001415	NS	normal	NS	feces_untarg_N6-carbamoylthreonyladenosine	Nucleotide	Purine Metabolism, Adenine containing
feces	100001416	NS	normal	NS	feces_untarg_orotidine	Nucleotide	Pyrimidine Metabolism, Orotate containing
feces	100001417	NS	normal	NS	feces_untarg_phenylacetylglutamine	Peptide	Acetylated Peptides
feces	100001423	NS	normal	NS	feces_untarg_4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism
feces	100001425	NS	normal	NS	feces_untarg_5,6-dihydrouridine	Nucleotide	Pyrimidine Metabolism, Uracil containing
feces	100001429	restored	normal	restored normal	feces_untarg_1-margaroylglycerol (17:0)	Lipid	Monoacylglycerol
feces	100001446	NS	normal	NS	feces_untarg_5-methyluridine (ribothymidine)	Nucleotide	Pyrimidine Metabolism, Uracil containing
feces	100001452	NS	normal	NS	feces_untarg_isovalerylglycine	Amino Acid	Leucine, Isoleucine and Valine Metabolism
feces	100001454	NS	normal	NS	feces_untarg_3-hydroxydodecanedioate*	Lipid	Fatty Acid, Dicarboxylate
feces	100001456	depleted	normal	depleted normal	feces_untarg_7-methylguanine	Nucleotide	Purine Metabolism, Guanine containing
feces	100001461	NS	normal	NS	feces_untarg_1-stearoyl-GPE (18:0)	Lipid	Lysophospholipid
feces	100001462	NS	normal	NS	feces_untarg_1-stearoyl-GPG (18:0)	Lipid	Lysophospholipid
feces	100001468	NS	normal	NS	feces_untarg_N1-methyl-2-pyridone-5-carboxamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism
feces	100001485	NS	normal	NS	feces_untarg_gamma-glutamylisoleucine*	Peptide	Gamma-glutamyl Amino Acid
feces	100001501	depleted	normal	depleted normal	feces_untarg_oleoylcarnitine (C18:1)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)
feces	100001509	depleted	normal	depleted normal	feces_untarg_2-methylbutyrylcarnitine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism
feces	100001510	depleted	normal	depleted normal	feces_untarg_phenol sulfate	Amino Acid	Tyrosine Metabolism
feces	100001511	NS	over	NS	feces_untarg_1-palmitoleoyl-GPC (16:1)*	Lipid	Lysophospholipid
feces	100001540	NS	normal	NS	feces_untarg_2-amino-4-cyanobutanoate	Amino Acid	Glutamate Metabolism
feces	100001541	depleted	normal	depleted normal	feces_untarg_2-hydroxy-3-methylvalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism
feces	100001550	NS	normal	NS	feces_untarg_homostachydrine*	Xenobiotics	Food Component/Plant
feces	100001556	NS	normal	NS	feces_untarg_2-oleoyl-GPC (18:1)*	Lipid	Lysophospholipid
feces	100001557	NS	normal	NS	feces_untarg_2-linoleoyl-GPC (18:2)*	Lipid	Lysophospholipid
feces	100001562	depleted	normal	depleted normal	feces_untarg_2-palmitoyl-GPC (16:0)*	Lipid	Lysophospholipid
feces	100001567	NS	over	NS	feces_untarg_1-palmitoyl-GPE (16:0)	Lipid	Lysophospholipid
feces	100001569	NS	over	NS	feces_untarg_1-oleoyl-GPE (18:1)	Lipid	Lysophospholipid
feces	100001570	NS	over	NS	feces_untarg_1-linoleoyl-GPE (18:2)*	Lipid	Lysophospholipid
feces	100001577	NS	normal	NS	feces_untarg_N-acetylcitrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism
feces	100001579	restored	normal	restored normal	feces_untarg_2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy
feces	100001580	NS	normal	NS	feces_untarg_docosapentaenoate (n6 DPA; 22:5n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)
feces	100001586	depleted	normal	depleted normal	feces_untarg_gulonate*	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism
feces	100001590	NS	normal	NS	feces_untarg_isobutyrylglycine (C4)	Amino Acid	Leucine, Isoleucine and Valine Metabolism
feces	100001594	NS	normal	NS	feces_untarg_beta-hydroxyisovaleroylcarnitine	Amino Acid	Leucine, Isoleucine and Valine Metabolism
feces	100001605	NS	normal	NS	feces_untarg_catechol sulfate	Xenobiotics	Benzoate Metabolism
feces	100001606	NS	over	NS	feces_untarg_cholesterol sulfate	Lipid	Sterol
feces	100001612	NS	normal	NS	feces_untarg_N-acetyl-aspartyl-glutamate (NAAG)	Amino Acid	Glutamate Metabolism
feces	100001613	NS	normal	NS	feces_untarg_tetradecanedioate (C14)	Lipid	Fatty Acid, Dicarboxylate
feces	100001614	restored	normal	restored normal	feces_untarg_hexadecanedioate (C16)	Lipid	Fatty Acid, Dicarboxylate
feces	100001615	NS	normal	NS	feces_untarg_octadecanedioate (C18)	Lipid	Fatty Acid, Dicarboxylate
feces	100001617	restored	normal	restored normal	feces_untarg_undecanedioate (C11-DC)	Lipid	Fatty Acid, Dicarboxylate
feces	100001618	NS	normal	NS	feces_untarg_1-myristoylglycerol (14:0)	Lipid	Monoacylglycerol
feces	100001620	NS	over	NS	feces_untarg_glycerophosphoethanolamine	Lipid	Phospholipid Metabolism
feces	100001621	NS	partial	NS	feces_untarg_glycerophosphoinositol*	Lipid	Phospholipid Metabolism
feces	100001624	NS	normal	NS	feces_untarg_3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism
feces	100001635	NS	normal	NS	feces_untarg_ectoine	Xenobiotics	Chemical
feces	100001651	NS	normal	NS	feces_untarg_2-oleoyl-GPE (18:1)*	Lipid	Lysophospholipid
feces	100001652	NS	over	NS	feces_untarg_2-palmitoyl-GPE* (16:0)*	Lipid	Lysophospholipid
feces	100001655	NS	normal	NS	feces_untarg_1-palmitoyl-GPI (16:0)	Lipid	Lysophospholipid
feces	100001657	NS	normal	NS	feces_untarg_glycolithocholate sulfate*	Lipid	Secondary Bile Acid Metabolism
feces	100001658	NS	normal	NS	feces_untarg_taurolithocholate 3-sulfate	Lipid	Secondary Bile Acid Metabolism
feces	100001662	NS	normal	NS	feces_untarg_deoxycarnitine	Lipid	Carnitine Metabolism
feces	100001730	NS	normal	NS	feces_untarg_3,4-dihydroxybutyrate	Lipid	Fatty Acid, Dihydroxy
feces	100001733	NS	normal	NS	feces_untarg_hexanoylglutamine	Lipid	Fatty Acid Metabolism (Acyl Glutamine)
feces	100001734	NS	over	NS	feces_untarg_N6-acetyllysine	Amino Acid	Lysine Metabolism
feces	100001739	NS	over	NS	feces_untarg_dihomolinolenate (20:3n3 or 3n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)
feces	100001740	NS	normal	NS	feces_untarg_mannitol/sorbitol	Carbohydrate	Fructose, Mannose and Galactose Metabolism
feces	100001743	NS	normal	NS	feces_untarg_tryptophan betaine	Amino Acid	Tryptophan Metabolism
feces	100001767	NS	normal	NS	feces_untarg_pyrraline	Xenobiotics	Food Component/Plant
feces	100001768	NS	normal	NS	feces_untarg_N6-carboxymethyllysine	Carbohydrate	Advanced Glycation End-product
feces	100001777	NS	over	NS	feces_untarg_1-oleoyl-GPI (18:1)	Lipid	Lysophospholipid
feces	100001778	NS	normal	NS	feces_untarg_1-linoleoyl-GPI* (18:2)*	Lipid	Lysophospholipid
feces	100001784	NS	over	NS	feces_untarg_1-palmitoleoyl-GPE (16:1)*	Lipid	Lysophospholipid
feces	100001810	depleted	normal	depleted normal	feces_untarg_dimethylarginine (ADMA + SDMA)	Amino Acid	Urea cycle; Arginine and Proline Metabolism
feces	100001843	NS	normal	NS	feces_untarg_gamma-glutamylalanine	Peptide	Gamma-glutamyl Amino Acid
feces	100001851	NS	normal	NS	feces_untarg_N-acetylserine	Amino Acid	Glycine, Serine and Threonine Metabolism
feces	100001859	NS	normal	NS	feces_untarg_chiro-inositol	Lipid	Inositol Metabolism
feces	100001878	NS	normal	NS	feces_untarg_glycosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	Lipid	Hexosylceramides (HCER)
feces	100001882	NS	normal	NS	feces_untarg_glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	Lipid	Hexosylceramides (HCER)
feces	100001925	NS	over	NS	feces_untarg_cyclo(leu-pro)	Peptide	Dipeptide
feces	100001948	NS	normal	NS	feces_untarg_succinylcarnitine (C4-DC)	Energy	TCA Cycle
feces	100001956	restored	over	restored over	feces_untarg_N-methylproline	Amino Acid	Urea cycle; Arginine and Proline Metabolism
feces	100001977	NS	normal	NS	feces_untarg_beta-cryptoxanthin	Cofactors and Vitamins	Vitamin A Metabolism
feces	100001987	NS	normal	NS	feces_untarg_5alpha-androstan-3beta,17beta-diol disulfate	Lipid	Androgenic Steroids
feces	100001988	depleted	normal	depleted normal	feces_untarg_5alpha-pregnan-3beta,20alpha-diol disulfate	Lipid	Progestin Steroids
feces	100001989	depleted	normal	depleted normal	feces_untarg_glycocholenate sulfate*	Lipid	Secondary Bile Acid Metabolism
feces	100001990	NS	normal	NS	feces_untarg_taurocholenate sulfate*	Lipid	Secondary Bile Acid Metabolism
feces	100001992	NS	normal	NS	feces_untarg_androstenediol (3beta,17beta) disulfate (1)	Lipid	Androgenic Steroids
feces	100001993	NS	normal	NS	feces_untarg_pregnen-diol disulfate*	Lipid	Pregnenolone Steroids
feces	100001994	NS	normal	NS	feces_untarg_androstenediol (3beta,17beta) disulfate (2)	Lipid	Androgenic Steroids
feces	100001999	depleted	normal	depleted normal	feces_untarg_21-hydroxypregnenolone disulfate	Lipid	Pregnenolone Steroids
feces	100002008	NS	normal	NS	feces_untarg_5alpha-androstan-3alpha,17alpha-diol monosulfate	Lipid	Androgenic Steroids
