# Pathway	CRSAFR-001-Cosmic_53_Abundance
UNMAPPED	5007385.6150446860
UNINTEGRATED	17931396.4322041161
UNINTEGRATED|unclassified	1723292.4472143573
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_495	1228768.2256575250
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1132957.0950591092
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	943251.5254648300
UNINTEGRATED|g__Blautia.s__Blautia_obeum	717229.6667663632
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	685113.6098201844
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	622091.3136608674
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_353	539995.4158415057
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	527314.7064436517
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercorirosoris	501530.8711031778
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	435262.4701595857
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	431414.6139616363
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	422000.9062448191
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	371992.5311508596
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	329616.6402849388
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	305429.5951375071
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	274147.8296126036
UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74	262871.7210086258
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528	259766.9401638735
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	258454.2648723669
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_254	244607.9917289122
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	238979.9948284637
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	230577.8899040555
UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_10	202935.0077744497
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	176145.0666578525
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	166843.6010678614
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	163332.0460912584
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	161955.2257545601
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	159889.8437143941
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	157827.9949616370
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	142232.9095085642
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	141272.5766803391
UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis	136379.4064931313
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	121259.0371540635
UNINTEGRATED|g__Bacteroides.s__Bacteroides_clarus	114967.3133149653
UNINTEGRATED|g__Acetobacter.s__Acetobacter_sp_CAG_267	113929.6398669092
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	103057.0386754085
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	101749.0535133131
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	94808.7548856055
UNINTEGRATED|g__Azospirillum.s__Azospirillum_sp_CAG_260	85795.2068896495
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	83654.0982127372
UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_100	74558.5610814803
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	74050.3148853394
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	72321.0782309350
UNINTEGRATED|g__Blautia.s__Blautia_sp_AF19_10LB	64781.3076321275
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_252	62334.1714490583
