"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.26724550460471	0.122934647385901	1.42597045282855e-12	8.77565982844904e-11	1.42597045282855e-12	6.35745160219396e-11	"abundance"	30	30
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.25673894770091	0.122536117497467	1.50257584152769e-12	8.87721807174557e-11	1.50257584152769e-12	6.4310246017385e-11	"abundance"	30	30
"PWY.6609..adenine.and.adenosine.salvage.III"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.32478102174108	0.132745017871819	1.56807899998057e-12	8.90789493450501e-11	1.56807899998057e-12	6.45324819222774e-11	"abundance"	30	30
"COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.50511796169577	0.156568403100573	1.76836323362295e-12	9.35646923923235e-11	1.76836323362295e-12	6.77821400540191e-11	"abundance"	30	30
"PWY.6629..superpathway.of.L.tryptophan.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.16899692767942	0.112628259694813	1.83708603884725e-12	9.35646923923235e-11	1.83708603884725e-12	6.77821400540191e-11	"abundance"	30	30
"PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.49846093011708	0.156134615864308	1.7901236049056e-12	9.35646923923235e-11	1.7901236049056e-12	6.77821400540191e-11	"abundance"	30	30
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.10256811009382	0.103876415162301	1.92057481029906e-12	9.4556299827057e-11	1.92057481029906e-12	6.85005015673331e-11	"abundance"	30	30
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.10256811009382	0.103876415162301	2.01638705732421e-12	9.60710865699309e-11	2.01638705732421e-12	6.95978758495775e-11	"abundance"	30	30
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.06313339967801	0.0996819790511215	2.12940776123105e-12	9.82854769793207e-11	2.12940776123105e-12	7.12020720161632e-11	"abundance"	30	30
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.05451073150734	0.0982349573108688	2.30260255307257e-12	1.03058908208733e-10	2.30260255307257e-12	7.46601433875047e-11	"abundance"	30	30
"PANTOSYN.PWY..superpathway.of.coenzyme.A.biosynthesis.I..bacteria."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.15924455169638	0.117703905311212	2.47368792116731e-12	1.07459913516592e-10	2.47368792116731e-12	7.78484139896771e-11	"abundance"	30	30
"HISTSYN.PWY..L.histidine.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.32553069789598	0.140578873981679	2.61457522299224e-12	1.10335074410273e-10	2.61457522299224e-12	7.99312996743343e-11	"abundance"	30	30
"PWY.6151..S.adenosyl.L.methionine.salvage.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.33820387216744	0.143132625819234	2.96918045705752e-12	1.21818875974277e-10	2.96918045705752e-12	8.82506413625429e-11	"abundance"	30	30
"PWY.5103..L.isoleucine.biosynthesis.III"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.965975147256116	0.0885708683317263	3.1247227028075e-12	1.24735552217478e-10	3.1247227028075e-12	9.03636024865954e-11	"abundance"	30	30
"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.977878091043959	0.0935785261357083	3.34010596958478e-12	1.2982464518623e-10	3.34010596958478e-12	9.40503523014663e-11	"abundance"	30	30
"PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.13330473920048	0.12111049584093	4.29878355134861e-12	1.6280264885492e-10	4.29878355134861e-12	1.17940984613923e-10	"abundance"	30	30
"PWY0.1296..purine.ribonucleosides.degradation"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.15867612321619	0.126770436337219	4.99023045108515e-12	1.80021978354127e-10	4.99023045108515e-12	1.30415380391954e-10	"abundance"	30	30
"VALSYN.PWY..L.valine.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.01782241130481	0.106655734697839	4.99722485614029e-12	1.80021978354127e-10	4.99722485614029e-12	1.30415380391954e-10	"abundance"	30	30
"PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.04519624592899	0.113993317706661	6.17106366007647e-12	2.17015738712689e-10	6.17106366007647e-12	1.57215193244805e-10	"abundance"	30	30
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.34925944768265	0.157548653624621	6.7443828299929e-12	2.3166170790464e-10	6.7443828299929e-12	1.67825340188195e-10	"abundance"	30	30
"PWY.6123..inosine.5..phosphate.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.11463061453017	0.124732614617616	7.0841110755282e-12	2.37800728603526e-10	7.0841110755282e-12	1.7227270115489e-10	"abundance"	30	30
"PWY.3841..folate.transformations.II..plants."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.16598157563406	0.136592757854713	8.09086131425829e-12	2.65560048025767e-10	8.09086131425829e-12	1.92382702361253e-10	"abundance"	30	30
"PWY.5667..CDP.diacylglycerol.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.93732531578987	0.104912840108077	1.02017283509781e-11	3.20594739880737e-10	1.02017283509781e-11	2.32252113522267e-10	"abundance"	30	30
"PWY0.1319..CDP.diacylglycerol.biosynthesis.II"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.937269290070742	0.104920363780778	1.01982866596018e-11	3.20594739880737e-10	1.01982866596018e-11	2.32252113522267e-10	"abundance"	30	30
