#mpa_vJun23_CHOCOPhlAnSGB_202307
#/home/duboisl/.conda/envs/mpa4/bin/metaphlan /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-3_911//CRSAFR-001-3_911_host_removed_R1.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-3_911//CRSAFR-001-3_911_host_removed_R2.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-3_911//CRSAFR-001-3_911_host_removed_UN.fastq.bz2 --nproc 8 --bowtie2db /scratch/microbiota/databases/metaphlan_database/ --input_type fastq --index mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-3_911/CRSAFR-001-3_911.bowtie2.bz2 --samout /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-3_911/CRSAFR-001-3_911.sam.bz2 --force -o /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-3_911/CRSAFR-001-3_911_profile.tsv
#32913487 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.3144	
k__Bacteria|p__Firmicutes|c__CFGB1474	2|1239|	0.17257	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.14241	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.10323	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.09456	
k__Bacteria|p__Firmicutes|c__CFGB79152	2|1239|	0.09223	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0873	
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.08162	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.07898	
k__Bacteria|p__Firmicutes|c__CFGB4529	2|1239|	0.07464	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.07447	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.05362	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.05001	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.02293	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.01888	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.01474	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.01204	
