#mpa_vJun23_CHOCOPhlAnSGB_202307
#/home/duboisl/.conda/envs/mpa4/bin/metaphlan /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-11-821//CRSAFR-001-11-821_host_removed_R1.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-11-821//CRSAFR-001-11-821_host_removed_R2.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-11-821//CRSAFR-001-11-821_host_removed_UN.fastq.bz2 --nproc 8 --bowtie2db /scratch/microbiota/databases/metaphlan_database/ --input_type fastq --index mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-11-821/CRSAFR-001-11-821.bowtie2.bz2 --samout /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-11-821/CRSAFR-001-11-821.sam.bz2 --force -o /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-11-821/CRSAFR-001-11-821_profile.tsv
#41628230 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.86229	
k__Archaea	2157	1.13771	
k__Bacteria|p__Firmicutes	2|1239	78.60584	
k__Bacteria|p__Actinobacteria	2|201174	11.50264	
k__Bacteria|p__Bacillota	2|1239	7.50951	
k__Bacteria|p__Bacteroidota	2|976	1.15688	
k__Archaea|p__Euryarchaeota	2157|28890	1.13771	
k__Bacteria|p__Proteobacteria	2|1224	0.05853	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.01518	
k__Bacteria|p__Bacteria_unclassified	2|	0.01218	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00153	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	8.97277	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	7.50951	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.82965	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	1.64107	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.4348	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	1.15276	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	1.15114	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.13771	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.70022	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.57297	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.36174	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.24184	
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.23088	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.21752	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.20243	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.15418	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.13909	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.11486	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.11447	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.05853	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.05247	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.05228	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.05163	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.03573	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.03438	
k__Bacteria|p__Firmicutes|c__CFGB79152	2|1239|	0.02954	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.02934	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.02181	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.01518	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01238	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.01223	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.01218	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.01122	
k__Bacteria|p__Firmicutes|c__CFGB77241	2|1239|	0.01032	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.00868	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00863	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.00743	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.00611	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.00601	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.00574	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.00466	
