#mpa_vJun23_CHOCOPhlAnSGB_202307
#/home/duboisl/.conda/envs/mpa4/bin/metaphlan /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-1-892//CRSAFR-001-1-892_host_removed_R1.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-1-892//CRSAFR-001-1-892_host_removed_R2.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-1-892//CRSAFR-001-1-892_host_removed_UN.fastq.bz2 --nproc 8 --bowtie2db /scratch/microbiota/databases/metaphlan_database/ --input_type fastq --index mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-1-892/CRSAFR-001-1-892.bowtie2.bz2 --samout /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-1-892/CRSAFR-001-1-892.sam.bz2 --force -o /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-1-892/CRSAFR-001-1-892_profile.tsv
#33697509 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.15053	
k__Archaea	2157	0.84947	
k__Bacteria|p__Firmicutes	2|1239	72.95593	
k__Bacteria|p__Bacteroidota	2|976	11.55502	
k__Bacteria|p__Bacillota	2|1239	7.72039	
k__Bacteria|p__Actinobacteria	2|201174	6.02728	
k__Archaea|p__Euryarchaeota	2157|28890	0.84947	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.54578	
k__Bacteria|p__Proteobacteria	2|1224	0.34613	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	11.55502	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	7.72039	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	4.11305	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.65346	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.33156	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.32599	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.84947	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.80834	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.71733	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.58267	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.5399	
