#mpa_vJun23_CHOCOPhlAnSGB_202307
#/home/duboisl/.conda/envs/mpa4/bin/metaphlan /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-Cosmic_56//CRSAFR-001-Cosmic_56_host_removed_R1.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-Cosmic_56//CRSAFR-001-Cosmic_56_host_removed_R2.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-Cosmic_56//CRSAFR-001-Cosmic_56_host_removed_UN.fastq.bz2 --nproc 8 --bowtie2db /scratch/microbiota/databases/metaphlan_database/ --input_type fastq --index mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-Cosmic_56/CRSAFR-001-Cosmic_56.bowtie2.bz2 --samout /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-Cosmic_56/CRSAFR-001-Cosmic_56.sam.bz2 --force -o /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-Cosmic_56/CRSAFR-001-Cosmic_56_profile.tsv
#52385697 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.97076	
k__Archaea	2157	0.02924	
k__Bacteria|p__Firmicutes	2|1239	49.42497	
k__Bacteria|p__Bacteroidota	2|976	35.00733	
k__Bacteria|p__Actinobacteria	2|201174	11.30928	
k__Bacteria|p__Bacillota	2|1239	2.10733	
k__Bacteria|p__Proteobacteria	2|1224	1.91868	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.16337	
k__Bacteria|p__Bacteria_unclassified	2|	0.03691	
k__Archaea|p__Euryarchaeota	2157|28890	0.02924	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00289	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	34.71336	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.40469	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.15484	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.35206	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	2.10733	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.97842	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.74974	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.605	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.51467	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.42559	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.39408	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.26737	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.23551	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.16337	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.06919	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.05824	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.04061	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.03691	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.03154	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.02924	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.0266	
k__Bacteria|p__Firmicutes|c__CFGB79245	2|1239|	0.02203	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.02061	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.01768	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01618	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.01421	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.01263	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.0047	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.00453	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.00289	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.0026	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.00053	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.00045	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.00011	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	34.71336	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.97461	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	4.32468	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.33478	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	2.10733	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.97046	
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.74974	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.605	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.53138	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.51467	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.43008	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.42559	
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.39408	
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670	2|976||	0.26737	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.23551	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	0.16337	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.14997	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.14697	
