#mpa_vJun23_CHOCOPhlAnSGB_202307
#/home/duboisl/.conda/envs/mpa4/bin/metaphlan /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-Cosmic_60//CRSAFR-001-Cosmic_60_host_removed_R1.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-Cosmic_60//CRSAFR-001-Cosmic_60_host_removed_R2.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-Cosmic_60//CRSAFR-001-Cosmic_60_host_removed_UN.fastq.bz2 --nproc 8 --bowtie2db /scratch/microbiota/databases/metaphlan_database/ --input_type fastq --index mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-Cosmic_60/CRSAFR-001-Cosmic_60.bowtie2.bz2 --samout /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-Cosmic_60/CRSAFR-001-Cosmic_60.sam.bz2 --force -o /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-Cosmic_60/CRSAFR-001-Cosmic_60_profile.tsv
#63105155 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.95952	
k__Archaea	2157	1.04048	
k__Bacteria|p__Firmicutes	2|1239	63.35717	
k__Bacteria|p__Bacteroidota	2|976	22.71307	
k__Bacteria|p__Actinobacteria	2|201174	6.63257	
k__Bacteria|p__Verrucomicrobia	2|74201	4.68595	
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	1.04048	
k__Bacteria|p__Proteobacteria	2|1224	0.54635	
k__Bacteria|p__Bacillota	2|1239	0.45989	
k__Bacteria|p__Tenericutes	2|544448	0.36428	
k__Bacteria|p__Lentisphaerae	2|256845	0.19938	
k__Bacteria|p__Bacteria_unclassified	2|	0.00087	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	20.57191	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	6.99855	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	4.68595	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.10056	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.00547	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	1.98912	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	1.89729	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	1.7637	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.0763	
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	2157|2283796|183967	1.04048	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.97558	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.92292	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.67138	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.67072	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.57935	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.57236	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.49759	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.45989	
k__Bacteria|p__Actinobacteria|c__CFGB77156	2|201174|	0.39189	
k__Bacteria|p__Firmicutes|c__CFGB11739	2|1239|	0.36701	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.31929	
k__Bacteria|p__Tenericutes|c__CFGB4862	2|544448|	0.30366	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.29052	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.27359	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.22705	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.20396	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.17721	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.16194	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.15204	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.13897	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.13465	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.12428	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.11192	
k__Bacteria|p__Firmicutes|c__CFGB320	2|1239|	0.10601	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.09808	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.06272	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.06062	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.0461	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.04438	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.04203	
k__Bacteria|p__Lentisphaerae|c__CFGB2378	2|256845|	0.03744	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.03323	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.02612	
k__Bacteria|p__Firmicutes|c__CFGB2917	2|1239|	0.02126	
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.02118	
k__Bacteria|p__Firmicutes|c__CFGB2983	2|1239|	0.02068	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.0201	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.02004	
k__Bacteria|p__Firmicutes|c__CFGB1320	2|1239|	0.01742	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.01633	
k__Bacteria|p__Firmicutes|c__CFGB79326	2|1239|	0.01565	
k__Bacteria|p__Firmicutes|c__CFGB38703	2|1239|	0.01469	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.0133	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.01222	
k__Bacteria|p__Firmicutes|c__CFGB2959	2|1239|	0.01174	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.00902	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00609	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.006	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.00399	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.00316	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.00312	
k__Bacteria|p__Firmicutes|c__CFGB77241	2|1239|	0.00278	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.00087	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.00081	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00038	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	20.57191	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	6.99855	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	4.68595	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.24209	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.99329	
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670	2|976||	1.98912	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	1.89729	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	1.7637	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.07529	
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	2157|2283796|183967|1235850	1.04048	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.01217	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.97558	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.92292	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.78511	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.67138	
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	2|1239||	0.67072	
k__Bacteria|p__Firmicutes|c__CFGB79291|o__OFGB79291	2|1239||	0.57935	
k__Bacteria|p__Firmicutes|c__CFGB2875|o__OFGB2875	2|1239||	0.57236	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	0.49759	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.45989	
k__Bacteria|p__Actinobacteria|c__CFGB77156|o__OFGB77156	2|201174||	0.39189	
k__Bacteria|p__Firmicutes|c__CFGB11739|o__OFGB11739	2|1239||	0.36701	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.31929	
k__Bacteria|p__Tenericutes|c__CFGB4862|o__OFGB4862	2|544448||	0.30366	
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	2|1239||	0.29052	
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.27359	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.22705	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.20396	
k__Bacteria|p__Firmicutes|c__CFGB2844|o__OFGB2844	2|1239||	0.17721	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.16194	
k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602	2|976||	0.15204	
k__Bacteria|p__Firmicutes|c__CFGB3041|o__OFGB3041	2|1239||	0.13897	
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.13465	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.12428	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.11192	
k__Bacteria|p__Firmicutes|c__CFGB320|o__OFGB320	2|1239||	0.10601	
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.09808	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	2|1239|186801|2508939	0.07816	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.07336	
k__Bacteria|p__Firmicutes|c__CFGB82363|o__OFGB82363	2|1239||	0.06272	
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787	2|544448||	0.06062	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	2|1239||	0.0461	
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985	2|1239||	0.04438	
k__Bacteria|p__Firmicutes|c__CFGB77202|o__OFGB77202	2|1239||	0.04203	
k__Bacteria|p__Lentisphaerae|c__CFGB2378|o__OFGB2378	2|256845||	0.03744	
k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374	2|1239||	0.03323	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.02612	
k__Bacteria|p__Firmicutes|c__CFGB2917|o__OFGB2917	2|1239||	0.02126	
k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262	2|1239||	0.02118	
k__Bacteria|p__Firmicutes|c__CFGB2983|o__OFGB2983	2|1239||	0.02068	
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	2|1239||	0.0201	
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.02004	
k__Bacteria|p__Firmicutes|c__CFGB1320|o__OFGB1320	2|1239||	0.01742	
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491	2|1239||	0.01633	
k__Bacteria|p__Firmicutes|c__CFGB79326|o__OFGB79326	2|1239||	0.01565	
k__Bacteria|p__Firmicutes|c__CFGB38703|o__OFGB38703	2|1239||	0.01469	
k__Bacteria|p__Firmicutes|c__CFGB45628|o__OFGB45628	2|1239||	0.0133	
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.01222	
k__Bacteria|p__Firmicutes|c__CFGB2959|o__OFGB2959	2|1239||	0.01174	
k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183	2|1239||	0.00902	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.00612	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.00609	
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	2|1239||	0.006	
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217	2|1239||	0.00399	
k__Bacteria|p__Firmicutes|c__CFGB4605|o__OFGB4605	2|1239||	0.00316	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	2|1239||	0.00312	
k__Bacteria|p__Firmicutes|c__CFGB77241|o__OFGB77241	2|1239||	0.00278	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.00101	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.00087	
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.00081	
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	2|1239||	0.00038	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	17.37613	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	12.57593	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	12.42683	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765	2|1239|||	6.99855	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	6.07306	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	4.68595	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	2.24209	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.98923	
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670|f__FGB1670	2|976|||	1.98912	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054	2|1239|||	1.89729	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477	2|1239|||	1.7637	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.57663	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	1.0424	
