#mpa_vJun23_CHOCOPhlAnSGB_202307
#/home/duboisl/.conda/envs/mpa4/bin/metaphlan /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-6-955//CRSAFR-001-6-955_host_removed_R1.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-6-955//CRSAFR-001-6-955_host_removed_R2.fastq.bz2,/scratch/microbiota/projects/FMT_Cdiff_Rodrigo/reads//CRSAFR-001-6-955//CRSAFR-001-6-955_host_removed_UN.fastq.bz2 --nproc 8 --bowtie2db /scratch/microbiota/databases/metaphlan_database/ --input_type fastq --index mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-6-955/CRSAFR-001-6-955.bowtie2.bz2 --samout /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-6-955/CRSAFR-001-6-955.sam.bz2 --force -o /scratch/microbiota/projects/FMT_Cdiff_Rodrigo/mpa_vJun23_CHOCOPhlAnSGB_202307/CRSAFR-001-6-955/CRSAFR-001-6-955_profile.tsv
#73982985 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.08437	
k__Archaea	2157	0.84883	
k__Eukaryota	2759	0.0668	
k__Bacteria|p__Firmicutes	2|1239	68.19996	
k__Bacteria|p__Actinobacteria	2|201174	14.78987	
k__Bacteria|p__Bacteroidota	2|976	6.95413	
k__Bacteria|p__Bacillota	2|1239	6.45061	
k__Bacteria|p__Verrucomicrobia	2|74201	1.59387	
k__Bacteria|p__Proteobacteria	2|1224	0.87887	
k__Archaea|p__Euryarchaeota	2157|28890	0.84883	
k__Bacteria|p__Tenericutes	2|544448	0.12387	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.0668	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.05498	
k__Bacteria|p__Bacteria_unclassified	2|	0.03822	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	13.71375	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	6.813	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	6.45061	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.59387	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	1.03605	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.84883	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.72912	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.63623	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.55286	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.49047	
k__Bacteria|p__Firmicutes|c__CFGB2880	2|1239|	0.47714	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.43989	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.42332	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.3486	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.30297	
k__Bacteria|p__Firmicutes|c__CFGB73076	2|1239|	0.20868	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.14144	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.14113	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.14013	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.13322	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.13236	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.13118	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.12387	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.12072	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.11578	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	0.0996	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.09552	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.08692	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.07983	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.07857	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.07399	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.07204	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.07011	
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra	2759||2683628	0.0668	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.05928	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.0539	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.05354	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.0477	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.0393	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.03822	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.03775	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.03749	
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.02736	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.02523	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.02453	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.02423	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.01973	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.01911	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.01869	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.01861	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01595	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.01594	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.01236	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.01221	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.01159	
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.01067	
k__Bacteria|p__Firmicutes|c__CFGB52309	2|1239|	0.01	
k__Bacteria|p__Firmicutes|c__CFGB1260	2|1239|	0.00761	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.00638	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.00569	
k__Bacteria|p__Firmicutes|c__CFGB2845	2|1239|	0.00452	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.00392	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.00356	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.00312	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.00243	
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.00224	
